participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch
155355,1,1,1,1,R,X,"1,3,2,4",2,0.3346757999388501,0.334687800030224,f,f,True,False,False,1
155355,1,1,2,2,P,X,"1,3,2,4",1,0.33630309998989105,0.3363143999595195,s,s,True,False,False,1
155355,1,1,3,3,R,L,"1,3,2,4",3,0.2875261000590399,0.28753940004389733,j,j,True,False,False,1
155355,1,1,4,4,P,H,"1,3,2,4",3,0.2829223000444472,0.28293390001636,j,j,True,False,False,1
155355,1,1,5,5,R,L,"1,3,2,4",1,0.24531359993852675,0.24532480002380908,s,f,False,False,False,1
155355,1,1,5,5,R,L,"1,3,2,4",1,0.11673729994799942,0.3620925999712199,s,s,True,False,False,1
155355,1,1,6,6,P,H,"1,3,2,4",2,0.2836832000175491,0.2836937999818474,f,f,True,False,False,1
155355,1,1,7,7,R,T,"1,3,2,4",1,0.3228345999959856,0.3228458999656141,s,s,True,False,False,1
155355,1,1,8,8,P,H,"1,3,2,4",4,0.3096660999581218,0.30969080002978444,l,l,True,False,False,1
155355,1,1,9,9,R,L,"1,3,2,4",2,0.3170015999348834,0.31701200001407415,f,f,True,False,False,1
155355,1,1,10,10,P,H,"1,3,2,4",1,0.3010002999799326,0.30101199995260686,s,s,True,False,False,1
155355,1,1,11,11,R,T,"1,3,2,4",2,0.2687582999933511,0.2687718999804929,f,f,True,False,False,1
155355,1,1,12,12,P,H,"1,3,2,4",3,0.3168932000407949,0.31690730003174394,j,j,True,False,False,1
155355,1,1,13,13,R,H,"1,3,2,4",4,0.30030050000641495,0.3003111999714747,l,l,True,False,False,1
155355,1,1,14,14,P,H,"1,3,2,4",2,0.2838932001031935,0.2839053999632597,f,f,True,False,False,1
155355,1,1,15,15,R,L,"1,3,2,4",3,0.30077309999614954,0.3007882999954745,j,j,True,False,False,1
155355,1,1,16,16,P,H,"1,3,2,4",4,0.3007544999709353,0.3007659000577405,l,l,True,False,False,1
155355,1,1,17,17,R,T,"1,3,2,4",3,0.30075729999225587,0.3007687999634072,j,j,True,False,False,1
155355,1,1,18,18,P,H,"1,3,2,4",1,0.3014129000948742,0.3014254999579862,s,s,True,False,False,1
155355,1,1,19,19,R,H,"1,3,2,4",2,0.24843279994092882,0.24844420002773404,f,f,True,False,False,1
155355,1,1,20,20,P,H,"1,3,2,4",3,0.28301010001450777,0.2830217001028359,j,j,True,False,False,1
155355,1,1,21,21,R,H,"1,3,2,4",4,0.2993394999066368,0.29935200000181794,l,l,True,False,False,1
155355,1,1,22,22,P,H,"1,3,2,4",2,0.26739360007923096,0.2674074999522418,f,f,True,False,False,1
155355,1,1,23,23,R,H,"1,3,2,4",1,0.2507299999706447,0.25074269995093346,s,s,True,False,False,1
155355,1,1,24,24,P,H,"1,3,2,4",4,0.3008443999569863,0.3008561000460759,l,l,True,False,False,1
155355,1,1,25,25,R,L,"1,3,2,4",4,0.38419490004889667,0.3842066000215709,l,l,True,False,False,1
155355,1,1,26,26,P,H,"1,3,2,4",1,0.31686549994628876,0.3168765000300482,s,f,False,False,False,1
155355,1,1,26,26,P,H,"1,3,2,4",1,0.18330549995880574,0.5002125999890268,s,s,True,False,False,1
155355,1,1,27,27,R,L,"1,3,2,4",2,0.2983168000355363,0.29832850000821054,f,f,True,False,False,1
155355,1,1,28,28,P,H,"1,3,2,4",3,0.316809399984777,0.3168209999566898,j,j,True,False,False,1
155355,1,1,29,29,R,H,"1,3,2,4",4,0.3008632999844849,0.30087450006976724,l,l,True,False,False,1
155355,1,1,30,30,P,H,"1,3,2,4",2,0.31756779993884265,0.31757830001879483,f,f,True,False,False,1
155355,1,1,31,31,R,H,"1,3,2,4",1,0.28232740005478263,0.28233909991104156,s,s,True,False,False,1
155355,1,1,32,32,P,H,"1,3,2,4",4,0.3002629999537021,0.3002746000420302,l,l,True,False,False,1
155355,1,1,33,33,R,L,"1,3,2,4",4,0.26719130005221814,0.2672018999001011,l,l,True,False,False,1
155355,1,1,34,34,P,H,"1,3,2,4",1,0.30074039997998625,0.30075110006146133,s,s,True,False,False,1
155355,1,1,35,35,R,T,"1,3,2,4",4,0.2677148999646306,0.2677266000537202,l,f,False,False,False,1
155355,1,1,35,35,R,T,"1,3,2,4",4,0.033298099995590746,0.3010564000578597,l,l,True,False,False,1
155355,1,1,36,36,P,H,"1,3,2,4",3,0.3329098999965936,0.3329234999837354,j,j,True,False,False,1
155355,1,1,37,37,R,L,"1,3,2,4",2,0.2658941999543458,0.2659061000449583,f,f,True,False,False,1
155355,1,1,38,38,P,H,"1,3,2,4",2,0.23344770004041493,0.23345990001689643,f,f,True,False,False,1
155355,1,1,39,39,R,R,"1,3,2,4",2,0.24994230002630502,0.24995329999364913,f,f,True,False,False,1
155355,1,1,40,40,P,H,"1,3,2,4",4,0.21706860000267625,0.21707940008491278,l,f,False,False,False,1
155355,1,1,40,40,P,H,"1,3,2,4",4,0.1833549999864772,0.4004613000433892,l,l,True,False,False,1
155355,1,1,41,41,R,T,"1,3,2,4",2,0.2841266000177711,0.28413719998206943,f,j,False,False,False,1
155355,1,1,41,41,R,T,"1,3,2,4",2,0.01685020001605153,0.3010152999777347,f,f,True,False,False,1
155355,1,1,42,42,P,H,"1,3,2,4",1,0.25070340000092983,0.2507142999675125,s,s,True,False,False,1
155355,1,1,43,43,R,H,"1,3,2,4",4,0.300263199955225,0.30027810006868094,l,l,True,False,False,1
155355,1,1,44,44,P,H,"1,3,2,4",3,0.2830856000073254,0.2830967999761924,j,j,True,False,False,1
155355,1,1,45,45,R,H,"1,3,2,4",1,0.2673408999107778,0.26735420001205057,s,s,True,False,False,1
155355,1,1,46,46,P,H,"1,3,2,4",2,0.2711591999977827,0.27117029996588826,f,f,True,False,False,1
155355,1,1,47,47,R,T,"1,3,2,4",1,0.33230930007994175,0.332321000052616,s,s,True,False,False,1
155355,1,1,48,48,P,H,"1,3,2,4",4,0.28373329993337393,0.2837442000163719,l,l,True,False,False,1
155355,1,1,49,49,R,L,"1,3,2,4",4,0.28399699996225536,0.28400770004373044,l,l,True,False,False,1
155355,1,1,50,50,P,H,"1,3,2,4",1,0.31580169999506325,0.31581369997002184,s,s,True,False,False,1
155355,1,1,51,51,R,T,"1,3,2,4",4,0.40019509999547154,0.40020669996738434,l,l,True,False,False,1
155355,1,1,52,52,P,H,"1,3,2,4",3,0.3503017999464646,0.3503123000264168,j,j,True,False,False,1
155355,1,1,53,53,R,L,"1,3,2,4",2,0.33419249998405576,0.33420329994987696,f,f,True,False,False,1
155355,1,1,54,54,P,H,"1,3,2,4",2,0.2679006999824196,0.2679116999497637,f,f,True,False,False,1
155355,1,1,55,55,R,R,"1,3,2,4",2,0.2500386000610888,0.25005009991582483,f,f,True,False,False,1
155355,1,1,56,56,P,H,"1,3,2,4",4,0.2972176999319345,0.2972289000172168,l,l,True,False,False,1
155355,1,1,57,57,R,L,"1,3,2,4",1,0.1342080000322312,0.13421879999805242,s,l,False,False,False,1
155355,1,1,57,57,R,L,"1,3,2,4",1,0.10013669996988028,0.23438550007995218,s,l,False,False,False,1
155355,1,1,57,57,R,L,"1,3,2,4",1,0.15049599995836616,0.38491240004077554,s,s,True,False,False,1
155355,1,1,58,58,P,H,"1,3,2,4",1,0.28344240004662424,0.28345440002158284,s,f,False,False,False,1
155355,1,1,58,58,P,H,"1,3,2,4",1,0.13360860000830144,0.417090900009498,s,s,True,False,False,1
155355,1,1,59,59,R,L,"1,3,2,4",2,0.33453600003849715,0.3345471000066027,f,f,True,False,False,1
155355,1,1,60,60,P,H,"1,3,2,4",3,0.30066539999097586,0.300677299965173,j,j,True,False,False,1
155355,1,1,61,61,R,T,"1,3,2,4",2,0.3096134999068454,0.3096289000241086,f,f,True,False,False,1
155355,1,1,62,62,P,H,"1,3,2,4",2,0.2664417999330908,0.2664544000290334,f,f,True,False,False,1
155355,1,1,63,63,R,R,"1,3,2,4",2,0.2672739000990987,0.267284799949266,f,f,True,False,False,1
155355,1,1,64,64,P,H,"1,3,2,4",4,0.3169273000676185,0.31693980004638433,l,l,True,False,False,1
155355,1,1,65,65,R,L,"1,3,2,4",1,0.33323180000297725,0.33324190007988364,s,s,True,False,False,1
155355,1,1,66,66,P,H,"1,3,2,4",1,0.2845233000116423,0.2845346999820322,s,s,True,False,False,1
155355,1,1,67,67,R,L,"1,3,2,4",4,0.2838549999287352,0.2838658000109717,l,l,True,False,False,1
155355,1,1,68,68,P,H,"1,3,2,4",3,0.31814119999762625,0.31815419998019934,j,j,True,False,False,1
155355,1,1,69,69,R,L,"1,3,2,4",3,0.3171049999073148,0.3171190000139177,j,j,True,False,False,1
155355,1,1,70,70,P,H,"1,3,2,4",2,0.2834807999897748,0.2834929999662563,f,f,True,False,False,1
155355,1,1,71,71,R,H,"1,3,2,4",2,0.2672452999977395,0.2672584999818355,f,f,True,False,False,1
155355,1,1,72,72,P,H,"1,3,2,4",4,0.3155038000550121,0.31551530002616346,l,l,True,False,False,1
