participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
1,1,1,1,1,R,X,"1,2,3,4",4,1.585991500000091,1.5860700000002907,l,s,False,False,False,1,NA,NA,NA,NA
1,1,1,1,1,R,X,"1,2,3,4",4,0.1295892999996795,1.715845000000627,l,f,False,False,False,1,NA,NA,NA,NA
1,1,1,1,1,R,X,"1,2,3,4",4,0.23457210000015039,1.9505212000003667,l,s,False,False,False,1,NA,NA,NA,NA
1,1,1,1,1,R,X,"1,2,3,4",4,0.08158280000043305,2.0322519999999713,l,f,False,False,False,1,NA,NA,NA,NA
1,1,1,1,1,R,X,"1,2,3,4",4,0.16003100000034465,2.192442999999912,l,s,False,False,False,1,NA,NA,NA,NA
1,1,1,1,1,R,X,"1,2,3,4",4,0.3898121000001993,2.582415900000342,l,l,True,False,False,1,NA,NA,NA,NA
1,1,1,2,2,P,X,"1,2,3,4",1,1.4094123000004402,1.4094338000004427,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,3,3,R,H,"1,2,3,4",1,0.3328544000005422,0.3328758999996353,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,4,4,P,H,"1,2,3,4",2,0.8650316000002931,0.8650652999995145,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,5,5,R,H,"1,2,3,4",2,1.204926900000828,1.2049513000001753,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,6,6,P,H,"1,2,3,4",3,0.34742150000056427,0.3474454999995942,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,7,7,R,L,"1,2,3,4",1,0.30528619999950024,0.30530689999977767,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,8,8,P,H,"1,2,3,4",4,0.3079004999999597,0.3079349999998158,l,l,True,False,False,1,NA,NA,NA,NA
1,1,1,9,9,R,L,"1,2,3,4",3,0.28428789999998116,0.2843213999994987,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,10,10,P,H,"1,2,3,4",1,0.41344370000024355,0.4134688999993159,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,11,11,R,T,"1,2,3,4",3,0.3272008999992977,0.32723059999989346,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,12,12,P,H,"1,2,3,4",2,0.2671811999998681,0.26721120000001974,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,13,13,R,H,"1,2,3,4",4,0.3308857000001808,0.3309118999995917,l,l,True,False,False,1,NA,NA,NA,NA
1,1,1,14,14,P,H,"1,2,3,4",3,0.30124160000013944,0.3012669999998252,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,15,15,R,L,"1,2,3,4",2,0.2575960000003761,0.25761679999959597,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,16,16,P,H,"1,2,3,4",4,0.2812057000001005,0.28123279999999795,l,j,False,False,False,1,NA,NA,NA,NA
1,1,1,16,16,P,H,"1,2,3,4",4,0.025793400000111433,0.30714999999963766,l,l,True,False,False,1,NA,NA,NA,NA
1,1,2,17,1,R,X,"1,2,3,4",1,0.8704270999996879,0.8704597999994803,s,s,True,False,False,1,NA,NA,NA,NA
1,1,2,18,2,P,X,"1,2,3,4",1,0.3214799999996103,0.32152900000073714,s,s,True,False,False,1,NA,NA,NA,NA
1,1,2,19,3,R,H,"1,2,3,4",2,0.3100961999998617,0.3101218000001609,f,j,False,False,False,1,NA,NA,NA,NA
1,1,2,19,3,R,H,"1,2,3,4",2,0.05975410000064585,0.369994300000144,f,f,True,False,False,1,NA,NA,NA,NA
1,1,2,20,4,P,H,"1,2,3,4",2,0.21600199999920733,0.21603920000052312,f,f,True,False,False,1,NA,NA,NA,NA
1,1,2,21,5,R,L,"1,2,3,4",4,0.31578759999956674,0.31582499999967695,l,l,True,False,False,1,NA,NA,NA,NA
1,1,2,22,6,P,H,"1,2,3,4",3,0.2689701999997851,0.2689989999998943,j,j,True,False,False,1,NA,NA,NA,NA
1,1,2,23,7,R,L,"1,2,3,4",3,0.29583499999989726,0.2958697999993092,j,j,True,False,False,1,NA,NA,NA,NA
1,1,2,24,8,P,H,"1,2,3,4",4,0.3013461999998981,0.30137920000015583,l,l,True,False,False,1,NA,NA,NA,NA
1,1,2,25,9,R,L,"1,2,3,4",2,0.2869651999999405,0.2869915999999648,f,f,True,False,False,1,NA,NA,NA,NA
1,1,2,26,10,P,H,"1,2,3,4",1,0.3270400999999765,0.3270855999999185,s,s,True,False,False,1,NA,NA,NA,NA
1,1,2,27,11,R,L,"1,2,3,4",4,0.23503170000003593,0.23506429999997636,l,j,False,False,False,1,NA,NA,NA,NA
1,1,2,27,11,R,L,"1,2,3,4",4,0.4324031999994986,0.6676225999999588,l,l,True,False,False,1,NA,NA,NA,NA
1,1,2,28,12,P,H,"1,2,3,4",2,0.30341839999982767,0.3034562000002552,f,f,True,False,False,1,NA,NA,NA,NA
1,1,2,29,13,R,H,"1,2,3,4",1,0.335428100000172,0.3354596999997739,s,s,True,False,False,1,NA,NA,NA,NA
1,1,2,30,14,P,H,"1,2,3,4",3,0.29903659999945376,0.2990921000000526,j,j,True,False,False,1,NA,NA,NA,NA
1,1,2,31,15,R,L,"1,2,3,4",3,0.2788892999997188,0.2789124000000811,j,j,True,False,False,1,NA,NA,NA,NA
1,1,2,32,16,P,H,"1,2,3,4",4,0.2884389999999257,0.2884768999992957,l,l,True,False,False,1,NA,NA,NA,NA
