participant,session,block_number,trial_number,trial_in_block_num,trial_type,triplet_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
133,1,1,1,1,R,X,"1,2,3,4",3,0.4633794999681413,0.4633794999681413,j,j,True,False,False,1,1,NA,NA,NA,NA
133,1,1,2,2,P,X,"1,2,3,4",1,0.2852683999808505,0.2852683999808505,s,s,True,False,False,1,1,NA,NA,NA,NA
133,1,1,3,3,R,H,"1,2,3,4",4,0.282853199983947,0.282853199983947,l,l,True,False,False,1,1,NA,NA,NA,NA
133,1,1,4,4,P,H,"1,2,3,4",2,0.26438160007819533,0.26438160007819533,f,f,True,False,False,1,1,NA,NA,NA,NA
133,1,1,5,5,R,H,"1,2,3,4",1,0.2859566999832168,0.2859566999832168,s,f,False,False,False,1,1,NA,NA,NA,NA
133,1,1,5,5,R,H,"1,2,3,4",1,0.015849500079639256,0.3018062000628561,s,s,True,False,False,1,0,NA,NA,NA,NA
133,1,1,6,6,P,H,"1,2,3,4",3,0.2501287000486627,0.2501287000486627,j,j,True,False,False,1,1,NA,NA,NA,NA
133,1,1,7,7,R,H,"1,2,3,4",2,0.24895409995224327,0.24895409995224327,f,f,True,False,False,1,1,NA,NA,NA,NA
133,1,1,8,8,P,H,"1,2,3,4",4,0.2632677999790758,0.2632677999790758,l,l,True,False,False,1,1,NA,NA,NA,NA
133,1,2,9,1,R,X,"1,2,3,4",1,0.3166041999356821,0.3166041999356821,s,s,True,False,False,1,1,NA,NA,NA,NA
133,1,2,10,2,P,X,"1,2,3,4",1,0.23995650000870228,0.23995650000870228,s,s,True,False,False,1,1,NA,NA,NA,NA
133,1,2,11,3,R,H,"1,2,3,4",2,0.22967269993387163,0.22967269993387163,f,f,True,False,False,1,1,NA,NA,NA,NA
133,1,2,12,4,P,H,"1,2,3,4",2,0.19625919999089092,0.19625919999089092,f,f,True,False,False,1,1,NA,NA,NA,NA
133,1,2,13,5,R,L,"1,2,3,4",4,0.26933669997379184,0.26933669997379184,l,l,True,False,False,1,1,NA,NA,NA,NA
133,1,2,14,6,P,H,"1,2,3,4",3,0.2669914000434801,0.2669914000434801,j,j,True,False,False,1,1,NA,NA,NA,NA
133,1,2,15,7,R,L,"1,2,3,4",3,0.18366550002247095,0.18366550002247095,j,f,False,False,False,1,1,NA,NA,NA,NA
133,1,2,15,7,R,L,"1,2,3,4",3,0.08792239998001605,0.271587900002487,j,j,True,False,False,1,0,NA,NA,NA,NA
133,1,2,16,8,P,H,"1,2,3,4",4,0.25322489999234676,0.25322489999234676,l,l,True,False,False,1,1,NA,NA,NA,NA
133,1,3,17,1,R,X,"1,2,3,4",2,0.3120834999717772,0.3120834999717772,f,f,True,False,False,1,1,NA,NA,NA,NA
133,1,3,18,2,P,X,"1,2,3,4",1,0.20136489998549223,0.20136489998549223,s,f,False,False,False,1,1,NA,NA,NA,NA
133,1,3,18,2,P,X,"1,2,3,4",1,0.12791689997538924,0.32928179996088147,s,s,True,False,False,1,0,NA,NA,NA,NA
133,1,3,19,3,R,L,"1,2,3,4",1,0.18930560001172125,0.18930560001172125,s,s,True,False,False,1,1,NA,NA,NA,NA
133,1,3,20,4,P,H,"1,2,3,4",2,0.22993779997341335,0.22993779997341335,f,j,False,False,False,1,1,NA,NA,NA,NA
133,1,3,20,4,P,H,"1,2,3,4",2,0.023973000003024936,0.2539107999764383,f,f,True,False,False,1,0,NA,NA,NA,NA
133,1,3,21,5,R,L,"1,2,3,4",3,0.18690059997607023,0.18690059997607023,j,j,True,False,False,1,1,NA,NA,NA,NA
133,1,3,22,6,P,H,"1,2,3,4",3,0.19579419994261116,0.19579419994261116,j,j,True,False,False,1,1,NA,NA,NA,NA
133,1,3,23,7,R,H,"1,2,3,4",4,0.20479620003607124,0.20479620003607124,l,l,True,False,False,1,1,NA,NA,NA,NA
133,1,3,24,8,P,H,"1,2,3,4",4,0.23762789997272193,0.23762789997272193,l,l,True,False,False,1,1,NA,NA,NA,NA
