participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch
1585,1,1,1,1,R,X,"1,2,3,4",3,1.0056909999111667,1.0057057000230998,j,j,True,False,True,0
1585,1,1,2,2,P,X,"1,2,3,4",1,0.3501952000660822,0.3502046999055892,s,s,True,False,True,0
1585,1,1,3,3,R,H,"1,2,3,4",4,0.3980156999314204,0.3980265000136569,l,l,True,False,True,0
1585,1,1,4,4,P,H,"1,2,3,4",2,0.31693900004029274,0.3169493998866528,f,f,True,False,True,0
1585,1,1,5,5,R,L,"1,2,3,4",3,0.3004453000612557,0.3004554999060929,j,j,True,False,True,0
1585,1,1,6,6,P,H,"1,2,3,4",3,0.3002134000416845,0.3002252000151202,j,j,True,False,True,0
1585,1,1,7,7,R,H,"1,2,3,4",4,0.3069093000376597,0.30691919999662787,l,l,True,False,True,0
1585,1,1,8,8,P,H,"1,2,3,4",4,0.3171545999357477,0.31716510001569986,l,l,True,False,True,0
1585,1,1,9,9,R,L,"1,2,3,4",2,0.28453259996604174,0.2845430000452325,f,f,True,False,True,0
1585,1,1,10,10,P,H,"1,2,3,4",1,0.3000630000606179,0.3000737000256777,s,s,True,False,True,0
1585,1,1,11,11,R,T,"1,2,3,4",2,0.2758828999940306,0.2758828999940306,NoGo,f,False,True,True,0
1585,1,1,12,12,P,H,"1,2,3,4",2,0.3157618000404909,0.31578399997670203,f,f,True,False,True,0
1585,1,1,13,13,R,H,"1,2,3,4",2,0.2838854000438005,0.28389650001190603,f,f,True,False,True,0
1585,1,1,14,14,P,H,"1,2,3,4",3,0.2677644999930635,0.267774400068447,j,j,True,False,True,0
1585,1,1,15,15,R,T,"1,2,3,4",2,0.35086819995194674,0.35087900003418326,f,f,True,False,True,0
1585,1,1,16,16,P,H,"1,2,3,4",4,0.31431859999429435,0.3143290999578312,l,l,True,False,True,0
1585,1,1,17,17,R,H,"1,2,3,4",3,0.6339030999224633,0.6339140000054613,j,j,True,False,True,0
1585,1,1,18,18,P,H,"1,2,3,4",1,0.31737910001538694,0.3173883999697864,s,s,True,False,True,0
1585,1,1,19,19,R,L,"1,2,3,4",1,0.28242809989023954,0.28245169995352626,s,s,True,False,True,0
1585,1,1,20,20,P,H,"1,2,3,4",2,0.28403600002638996,0.284046099986881,f,f,True,False,True,0
1585,1,1,21,21,R,L,"1,2,3,4",4,0.3164746999973431,0.31648510007653385,l,l,True,False,True,0
1585,1,1,22,22,P,H,"1,2,3,4",3,0.30138089996762574,0.301391200046055,j,j,True,False,True,0
1585,1,1,23,23,R,H,"1,2,3,4",1,0.3506164998980239,0.3506259999703616,s,s,True,False,True,0
1585,1,1,24,24,P,H,"1,2,3,4",4,0.3423472000285983,0.3423472000285983,NoGo,l,False,True,True,0
1585,1,1,25,25,R,L,"1,2,3,4",2,0.2995995000237599,0.2996117000002414,f,f,True,False,True,0
1585,1,1,26,26,P,H,"1,2,3,4",1,0.29845450003631413,0.29846389999147505,s,s,True,False,True,0
1585,1,1,27,27,R,L,"1,2,3,4",1,0.4663977000163868,0.46640730008948594,s,s,True,False,True,0
1585,1,1,28,28,P,H,"1,2,3,4",2,0.30141279997769743,0.3014359000371769,f,f,True,False,True,0
1585,1,1,29,29,R,L,"1,2,3,4",4,0.3500381000339985,0.3500488999998197,l,l,True,False,True,0
1585,1,1,30,30,P,H,"1,2,3,4",3,0.3091860000276938,0.3091860000276938,NoGo,j,False,True,True,0
1585,1,1,31,31,R,T,"1,2,3,4",2,2.3684019000502303,2.368412699899636,f,f,True,False,True,0
1585,1,1,32,32,P,H,"1,2,3,4",4,0.38370909995865077,0.38371920003555715,l,l,True,False,True,0
1585,1,1,33,33,R,L,"1,2,3,4",1,0.3009948000544682,0.3010060000233352,s,s,True,False,True,0
1585,1,1,34,34,P,H,"1,2,3,4",1,0.2673591999337077,0.26736940001137555,s,s,True,False,True,0
1585,1,1,35,35,R,L,"1,2,3,4",3,0.3173927000025287,0.31740539998281747,j,j,True,False,True,0
1585,1,1,36,36,P,H,"1,2,3,4",2,0.3341901999665424,0.33419960003811866,f,f,True,False,True,0
