participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch
166,1,1,1,1,R,X,"1,3,4,2",2,0.39980240003205836,0.39981460000853986,f,f,True,False,False,1
166,1,1,2,2,P,X,"1,3,4,2",1,0.36619929992593825,0.36621190002188087,s,s,True,False,False,1
166,1,1,3,3,R,T,"1,3,4,2",2,0.3478917999891564,0.34790549997705966,f,f,True,False,False,1
166,1,1,4,4,P,H,"1,3,4,2",3,0.3651307999389246,0.3651436000363901,j,j,True,False,False,1
166,1,1,5,5,R,T,"1,3,4,2",2,0.3328027999959886,0.3328129999572411,f,f,True,False,False,1
166,1,1,6,6,P,H,"1,3,4,2",4,,,NoGo,None,True,True,False,1
166,1,1,7,7,R,T,"1,3,4,2",3,0.5559081000974402,0.5559217999689281,j,j,True,False,False,1
166,1,1,8,8,P,H,"1,3,4,2",2,1.331678400048986,1.3316897999029607,f,f,True,False,False,1
166,1,1,9,9,R,H,"1,3,4,2",4,0.27485420007724315,0.274866099935025,l,l,True,False,False,1
166,1,1,10,10,P,H,"1,3,4,2",1,0.3134110999526456,0.3134216000325978,s,s,True,False,False,1
166,1,1,11,11,R,T,"1,3,4,2",4,0.3254313000943512,0.3254313000943512,NoGo,l,False,True,False,1
166,1,1,12,12,P,H,"1,3,4,2",3,0.36565589997917414,0.3656681999564171,j,j,True,False,False,1
166,1,1,13,13,R,L,"1,3,4,2",2,0.262491500005126,0.262502400088124,f,f,True,False,False,1
166,1,1,14,14,P,H,"1,3,4,2",4,0.33261280006263405,0.33262299990747124,l,l,True,False,False,1
166,1,1,15,15,R,H,"1,3,4,2",1,0.29388289991766214,0.29389530001208186,s,s,True,False,False,1
166,1,1,16,16,P,H,"1,3,4,2",2,0.2806049999780953,0.28061589994467795,f,j,False,False,False,1
166,1,1,16,16,P,H,"1,3,4,2",2,0.06688579998444766,0.34753589995671064,f,f,True,False,False,1
166,1,1,17,17,R,L,"1,3,4,2",4,0.3322803999762982,0.3322923000669107,l,l,True,False,False,1
166,1,1,18,18,P,H,"1,3,4,2",1,0.30018709995783865,0.300201200065203,s,f,False,False,False,1
166,1,1,18,18,P,H,"1,3,4,2",1,0.13351680000778288,0.4337512000929564,s,s,True,False,False,1
166,1,1,19,19,R,T,"1,3,4,2",4,0.3137171999551356,0.3137286000419408,l,l,True,False,False,1
166,1,1,20,20,P,H,"1,3,4,2",3,0.26376369991339743,0.2637752000009641,j,j,True,False,False,1
166,1,1,21,21,R,L,"1,3,4,2",3,0.28150599997024983,0.281516500050202,j,j,True,False,False,1
166,1,1,22,22,P,H,"1,3,4,2",4,0.3153140000067651,0.31532439996954054,l,l,True,False,False,1
166,1,1,23,23,R,T,"1,3,4,2",3,0.27292840008158237,0.27292840008158237,NoGo,j,False,True,False,1
166,1,1,24,24,P,H,"1,3,4,2",2,0.2828445000341162,0.2828563000075519,f,f,True,False,False,1
166,1,1,25,25,R,L,"1,3,4,2",3,0.2489738001022488,0.24898429994937032,j,j,True,False,False,1
166,1,1,26,26,P,H,"1,3,4,2",1,0.2492434000596404,0.24925369990523905,s,s,True,False,False,1
166,1,1,27,27,R,T,"1,3,4,2",3,0.28114910004660487,0.28116109990514815,j,j,True,False,False,1
166,1,1,28,28,P,H,"1,3,4,2",3,0.2465453000040725,0.24657920002937317,j,j,True,False,False,1
166,1,1,29,29,R,R,"1,3,4,2",3,0.18910429999232292,0.18910429999232292,NoGo,j,False,True,False,1
166,1,1,30,30,P,H,"1,3,4,2",4,0.3004565999144688,0.30046639998909086,l,l,True,False,False,1
166,1,1,31,31,R,H,"1,3,4,2",4,0.25777170003857464,0.25777170003857464,NoGo,l,False,True,False,1
166,1,1,32,32,P,H,"1,3,4,2",2,0.28331009997054935,0.28332020004745573,f,f,True,False,False,1
166,1,1,33,33,R,H,"1,3,4,2",2,0.16435739991720766,0.16437110002152622,f,f,True,False,False,1
166,1,1,34,34,P,H,"1,3,4,2",1,0.26527180010452867,0.2652834999607876,s,s,True,False,False,1
166,1,1,35,35,R,L,"1,3,4,2",3,0.2807014000136405,0.28071429999545217,j,j,True,False,False,1
166,1,1,36,36,P,H,"1,3,4,2",3,0.21197300008498132,0.21198409993667156,j,f,False,False,False,1
166,1,1,36,36,P,H,"1,3,4,2",3,0.11693890008609742,0.328954599914141,j,j,True,False,False,1
166,1,1,37,37,R,L,"1,3,4,2",2,0.2648767000064254,0.264888699981384,f,f,True,False,False,1
166,1,1,38,38,P,H,"1,3,4,2",4,0.3292378999758512,0.3292499999515712,l,l,True,False,False,1
166,1,1,39,39,R,H,"1,3,4,2",1,0.26543500006664544,0.26544500002637506,s,f,False,False,False,1
166,1,1,39,39,R,H,"1,3,4,2",1,0.16682070004753768,0.4322952999500558,s,s,True,False,False,1
166,1,1,40,40,P,H,"1,3,4,2",2,0.24652309995144606,0.24653470003977418,f,f,True,False,False,1
166,1,1,41,41,R,L,"1,3,4,2",2,0.24907739995978773,0.24908840004354715,f,s,False,False,False,1
166,1,1,41,41,R,L,"1,3,4,2",2,0.10019310005009174,0.349309999961406,f,f,True,False,False,1
166,1,1,42,42,P,H,"1,3,4,2",1,0.34218789997976273,0.34218789997976273,NoGo,s,False,True,False,1
166,1,1,43,43,R,H,"1,3,4,2",1,0.33239940006751567,0.3324104999192059,s,s,True,False,False,1
166,1,1,44,44,P,H,"1,3,4,2",3,0.2626128999982029,0.2626235999632627,j,j,True,False,False,1
166,1,1,45,45,R,T,"1,3,4,2",1,0.16171929996926337,0.1617311000591144,s,j,False,False,False,1
166,1,1,45,45,R,T,"1,3,4,2",1,0.1846039000665769,0.3463658000109717,s,s,True,False,False,1
166,1,1,46,46,P,H,"1,3,4,2",4,0.2670609999913722,0.26707320008426905,l,j,False,False,False,1
166,1,1,46,46,P,H,"1,3,4,2",4,0.06667640001978725,0.3337793000973761,l,l,True,False,False,1
166,1,1,47,47,R,L,"1,3,4,2",2,0.3321517000440508,0.3321641000220552,f,f,True,False,False,1
166,1,1,48,48,P,H,"1,3,4,2",2,0.2482325000455603,0.2482429000083357,f,f,True,False,False,1
166,1,1,49,49,R,H,"1,3,4,2",1,0.3005473999073729,0.3005577999865636,s,s,True,False,False,1
166,1,1,50,50,P,H,"1,3,4,2",1,0.2839972999645397,0.28400719992350787,s,f,False,False,False,1
166,1,1,50,50,P,H,"1,3,4,2",1,0.03334540000651032,0.3173800999065861,s,s,True,False,False,1
166,1,1,51,51,R,L,"1,3,4,2",4,0.28168080002069473,0.2816928999964148,l,j,False,False,False,1
166,1,1,51,51,R,L,"1,3,4,2",4,0.28210950002539903,0.5638332000235096,l,l,True,False,False,1
166,1,1,52,52,P,H,"1,3,4,2",3,0.28045890002977103,0.2804710000054911,j,j,True,False,False,1
166,1,1,53,53,R,L,"1,3,4,2",3,0.24638669996056706,0.24640000006183982,j,j,True,False,False,1
166,1,1,54,54,P,H,"1,3,4,2",4,0.29642259993124753,0.29643280000891536,l,l,True,False,False,1
166,1,1,55,55,R,T,"1,3,4,2",3,0.28040409996174276,0.28041729994583875,j,f,False,False,False,1
166,1,1,55,55,R,T,"1,3,4,2",3,0.016505500068888068,0.29695399990305305,j,j,True,False,False,1
166,1,1,56,56,P,H,"1,3,4,2",2,0.23257120000198483,0.2325833000941202,f,f,True,False,False,1
166,1,1,57,57,R,T,"1,3,4,2",3,0.23176080000121146,0.23177199997007847,j,j,True,False,False,1
166,1,1,58,58,P,H,"1,3,4,2",1,0.26742779999040067,0.26743810006882995,s,f,False,False,False,1
166,1,1,58,58,P,H,"1,3,4,2",1,0.08340799994766712,0.35087820002809167,s,s,True,False,False,1
166,1,1,59,59,R,T,"1,3,4,2",3,0.3174998000031337,0.3175109999720007,j,j,True,False,False,1
166,1,1,60,60,P,H,"1,3,4,2",3,0.2602399999741465,0.2602514000609517,j,j,True,False,False,1
166,1,1,61,61,R,L,"1,3,4,2",2,0.21269019995816052,0.21270100004039705,f,f,True,False,False,1
166,1,1,62,62,P,H,"1,3,4,2",4,0.266801799996756,0.2668127999641001,l,j,False,False,False,1
166,1,1,62,62,P,H,"1,3,4,2",4,0.06672249990515411,0.3335632999660447,l,l,True,False,False,1
166,1,1,63,63,R,L,"1,3,4,2",4,0.24939390004146844,0.2494044000050053,l,j,False,False,False,1
166,1,1,63,63,R,L,"1,3,4,2",4,0.35065839998424053,0.6000954000046477,l,l,True,False,False,1
166,1,1,64,64,P,H,"1,3,4,2",2,0.29520490008872,0.29521519993431866,f,f,True,False,False,1
166,1,1,65,65,R,H,"1,3,4,2",2,0.23416860005818307,0.23417940002400428,f,f,True,False,False,1
166,1,1,66,66,P,H,"1,3,4,2",1,0.23970620008185506,0.23970620008185506,NoGo,f,False,True,False,1
166,1,1,67,67,R,L,"1,3,4,2",3,0.29719489999115467,0.2972059999592602,j,j,True,False,False,1
166,1,1,68,68,P,H,"1,3,4,2",3,0.2075389000819996,0.2075389000819996,NoGo,j,False,True,False,1
