participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
1,1,1,1,1,R,X,"1,2,3,4",4,1.970189699990442,1.9701999999815598,l,l,True,False,False,1,1,2,1,2
1,1,1,2,2,P,X,"1,2,3,4",1,0.2679501000093296,0.26796009999816306,s,s,True,False,False,1,1,2,1,2
1,1,1,3,3,R,T,"1,2,3,4",4,0.26781190000474453,0.2678221999958623,l,f,False,False,False,1,1,2,1,2
1,1,1,3,3,R,T,"1,2,3,4",4,0.03311129999929108,0.3009598999924492,l,l,True,False,False,1,1,2,1,2
1,1,1,4,4,P,H,"1,2,3,4",2,0.2688907999836374,0.26890090000233613,f,f,True,False,False,1,1,2,1,2
1,1,1,5,5,R,H,"1,2,3,4",1,0.2518168999813497,0.2518258999916725,s,f,False,False,False,1,1,2,1,2
1,1,1,5,5,R,H,"1,2,3,4",1,0.06679469998925924,0.31864589999895543,s,s,True,False,False,1,1,2,1,2
1,1,1,6,6,P,H,"1,2,3,4",3,0.2680444999714382,0.268054399988614,j,j,True,False,False,1,1,2,1,2
1,1,1,7,7,R,H,"1,2,3,4",2,0.2527854999934789,0.2527942000015173,f,f,True,False,False,1,1,2,1,2
1,1,1,8,8,P,H,"1,2,3,4",4,0.25264140000217594,0.25265089998720214,l,j,False,False,False,1,1,2,1,2
1,1,1,8,8,P,H,"1,2,3,4",4,0.10006379999686033,0.35274060000665486,l,l,True,False,False,1,1,2,1,2
1,1,1,9,9,R,T,"1,2,3,4",2,0.2696364999865182,0.2696460000006482,f,f,True,False,False,1,1,2,1,2
1,1,1,10,10,P,H,"1,2,3,4",1,0.28478940000059083,0.2847989999863785,s,s,True,False,False,1,1,2,1,2
1,1,1,11,11,R,H,"1,2,3,4",3,0.2689392000029329,0.26894919999176636,j,l,False,False,False,1,1,2,1,2
1,1,1,11,11,R,H,"1,2,3,4",3,0.04999179998412728,0.3189704999967944,j,j,True,False,False,1,1,2,1,2
1,1,1,12,12,P,H,"1,2,3,4",2,0.2689851000031922,0.2689945999882184,f,f,True,False,False,1,1,2,1,2
1,1,1,13,13,R,T,"1,2,3,4",3,0.2689364999823738,0.26894650000031106,j,j,True,False,False,1,1,2,1,2
1,1,1,14,14,P,H,"1,2,3,4",3,0.25146589998621494,0.25147540000034496,j,j,True,False,False,1,1,2,1,2
1,1,1,15,15,R,L,"1,2,3,4",1,0.26853460000711493,0.2685445999959484,s,f,False,False,False,1,1,2,1,2
1,1,1,15,15,R,L,"1,2,3,4",1,0.05004740000003949,0.318618699995568,s,s,True,False,False,1,1,2,1,2
1,1,1,16,16,P,H,"1,2,3,4",4,0.2686409000016283,0.26865009998437017,l,l,True,False,False,1,1,2,1,2
