participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_attempt,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
2,1,1,39,39,R,T,"1,2,4,3",3,0.5830983000341803,0.5831084998790175,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,40,40,P,H,"1,2,4,3",3,0.38321979995816946,0.3832292000297457,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,41,41,R,H,"1,2,4,3",1,0.4666387001052499,0.4666495001874864,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,42,42,P,H,"1,2,4,3",1,0.3163386001251638,0.3163475999608636,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,43,43,R,L,"1,2,4,3",4,0.4505372999701649,0.45054690004326403,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,44,44,P,H,"1,2,4,3",2,0.38342890003696084,0.38343820022419095,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,45,45,R,L,"1,2,4,3",2,0.31695420015603304,0.31696359999477863,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,46,46,P,H,"1,2,4,3",4,0.34915589983575046,0.34916500002145767,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,47,47,R,L,"1,2,4,3",1,0.6820806998293847,0.6820904000196606,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,48,48,P,H,"1,2,4,3",3,0.5497413999401033,0.5497496000025421,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,49,49,R,L,"1,2,4,3",4,0.3504241001792252,0.3504333000164479,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,50,50,P,H,"1,2,4,3",1,0.3488674000836909,0.3488771999254823,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,51,51,R,T,"1,2,4,3",4,0.33306590002030134,0.33307469985447824,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,52,52,P,H,"1,2,4,3",2,0.3494029000867158,0.34941219980828464,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,53,53,R,L,"1,2,4,3",2,0.34918650006875396,0.3492060999851674,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,54,54,P,H,"1,2,4,3",4,0.3988810000009835,0.39889109996147454,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,55,55,R,L,"1,2,4,3",3,0.36654939991422,0.3665603999979794,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,56,56,P,H,"1,2,4,3",3,0.3499720999971032,0.3499812001828104,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,57,57,R,L,"1,2,4,3",2,0.3999453999567777,0.39995469991117716,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,58,58,P,H,"1,2,4,3",1,0.3330853001680225,0.3330939000006765,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,59,59,R,T,"1,2,4,3",2,0.3501111997757107,0.3501204999629408,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,60,60,P,H,"1,2,4,3",2,0.3159845001064241,0.3159936999436468,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,61,61,R,H,"1,2,4,3",4,0.6830280001740903,0.6830416000448167,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,62,62,P,H,"1,2,4,3",4,0.3654092000797391,0.36542030004784465,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,63,63,R,L,"1,2,4,3",2,0.4331690000835806,0.433178799925372,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,64,64,P,H,"1,2,4,3",3,0.3831775998696685,0.3831865999381989,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,65,65,R,T,"1,2,4,3",2,0.3662034999579191,0.36621230002492666,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,66,66,P,H,"1,2,4,3",1,0.33230950008146465,0.3323184000328183,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,67,67,R,L,"1,2,4,3",1,0.38358709984458983,0.38359780004248023,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,68,68,P,H,"1,2,4,3",2,0.3162652999162674,0.31627639988437295,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,69,69,R,L,"1,2,4,3",3,0.30001770006492734,0.3000290999189019,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,70,70,P,H,"1,2,4,3",4,0.31581189995631576,0.3158217000309378,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,71,71,R,L,"1,2,4,3",4,0.35054560005664825,0.35055439989082515,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,72,72,P,H,"1,2,4,3",3,0.31605480005964637,0.31606370001100004,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,73,73,R,T,"1,2,4,3",4,0.3322746998164803,0.33228410012088716,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,74,74,P,H,"1,2,4,3",1,0.3163151000626385,0.3163250999059528,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,75,75,R,H,"1,2,4,3",3,0.31633329996839166,0.3163431000430137,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,76,76,P,H,"1,2,4,3",2,0.29906860017217696,0.2990768998861313,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,77,77,R,H,"1,2,4,3",1,0.3164480000268668,0.31645729998126626,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,78,78,P,H,"1,2,4,3",4,0.31547989998944104,0.31548970006406307,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,79,79,R,L,"1,2,4,3",3,0.3166366999503225,0.31664570001885295,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,80,80,P,H,"1,2,4,3",3,0.3997055001091212,0.39971550018526614,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,81,1,R,X,"1,2,4,3",4,0.4330670000053942,0.4330768999643624,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,82,2,P,X,"1,2,4,3",1,0.29939120006747544,0.29940069979056716,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,83,3,R,L,"1,2,4,3",2,0.33300290000624955,0.3330123000778258,f,j,False,False,False,1,1,NA,NA,NA,NA
2,1,2,83,3,R,L,"1,2,4,3",2,0.033285100013017654,0.3663264000788331,f,f,True,False,False,1,0,NA,NA,NA,NA
2,1,2,84,4,P,H,"1,2,4,3",2,0.3158670999109745,0.31587709998711944,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,85,5,R,L,"1,2,4,3",1,0.3494823998771608,0.3494915999472141,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,86,6,P,H,"1,2,4,3",4,0.38272239989601076,0.3827336998656392,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,87,7,R,H,"1,2,4,3",2,0.3485025998670608,0.348511700052768,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,88,8,P,H,"1,2,4,3",3,0.6490209000185132,0.6490305000916123,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,89,9,R,T,"1,2,4,3",2,0.34902710001915693,0.3490357999689877,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,90,10,P,H,"1,2,4,3",1,0.3160042001400143,0.3160132998600602,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,91,11,R,L,"1,2,4,3",3,0.39991190005093813,0.399920399999246,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,92,12,P,H,"1,2,4,3",2,0.2822358999401331,0.28224510001018643,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,93,13,R,T,"1,2,4,3",3,0.39816970005631447,0.3981840000487864,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,94,14,P,H,"1,2,4,3",4,0.3336400999687612,0.33364910003729165,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,95,15,R,T,"1,2,4,3",3,0.2998353000730276,0.29984399979002774,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,96,16,P,H,"1,2,4,3",3,0.3158916998654604,0.3159002000465989,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,97,17,R,H,"1,2,4,3",1,0.3995343002025038,0.39954349980689585,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,98,18,P,H,"1,2,4,3",1,0.3326960001140833,0.3327069999650121,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,99,19,R,R,"1,2,4,3",1,0.3323998998384923,0.3324145001824945,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,100,20,P,H,"1,2,4,3",2,0.36690070014446974,0.36691009998321533,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,101,21,R,L,"1,2,4,3",4,0.36617959989234805,0.36619359999895096,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,102,22,P,H,"1,2,4,3",4,0.3660147001501173,0.366024199873209,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,103,23,R,L,"1,2,4,3",1,0.2988962000235915,0.2989055998623371,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,104,24,P,H,"1,2,4,3",3,0.35011569992639124,0.35012520011514425,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,105,25,R,H,"1,2,4,3",2,0.3496201999951154,0.34963089996017516,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,106,26,P,H,"1,2,4,3",1,0.3148960000835359,0.31490529980510473,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,107,27,R,T,"1,2,4,3",2,0.3320939999539405,0.3321033001411706,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,108,28,P,H,"1,2,4,3",2,0.33311830018647015,0.3331284997984767,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,109,29,R,L,"1,2,4,3",3,0.39935900014825165,0.39936819998547435,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,110,30,P,H,"1,2,4,3",4,0.33236449980176985,0.332374099874869,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,111,31,R,L,"1,2,4,3",2,0.31584600009955466,0.31585539993830025,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,112,32,P,H,"1,2,4,3",3,0.29988139984197915,0.29989110003225505,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,113,33,R,L,"1,2,4,3",1,0.3661757002118975,0.3661847999319434,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,114,34,P,H,"1,2,4,3",1,0.2825887999497354,0.28259869990870357,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,115,35,R,L,"1,2,4,3",4,0.499997700098902,0.5000074000563473,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,116,36,P,H,"1,2,4,3",2,0.34953149990178645,0.3495407998561859,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,117,37,R,H,"1,2,4,3",3,0.33215400017797947,0.33216360001824796,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,118,38,P,H,"1,2,4,3",4,0.31668390007689595,0.31669329991564155,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,119,39,R,T,"1,2,4,3",3,0.299256700091064,0.29926580004394054,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,120,40,P,H,"1,2,4,3",3,0.2833863999694586,0.283401400083676,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,121,41,R,L,"1,2,4,3",2,0.2994482000358403,0.29945769999176264,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,122,42,P,H,"1,2,4,3",1,0.29910709988325834,0.29911620006896555,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,123,43,R,H,"1,2,4,3",4,0.315906299976632,0.3159183000680059,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,124,44,P,H,"1,2,4,3",2,0.2996334000490606,0.29964370001107454,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,125,45,R,L,"1,2,4,3",1,0.3496852000243962,0.34969489998184144,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,126,46,P,H,"1,2,4,3",4,0.3168206000700593,0.3168299999088049,l,j,False,False,False,1,1,NA,NA,NA,NA
2,1,2,126,46,P,H,"1,2,4,3",4,0.1167472000233829,0.4336029998958111,l,l,True,False,False,1,0,NA,NA,NA,NA
2,1,2,127,47,R,H,"1,2,4,3",2,0.31610319996252656,0.3161120000295341,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,128,48,P,H,"1,2,4,3",3,0.44954689987935126,0.44955680007115006,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,129,49,R,H,"1,2,4,3",4,0.4825823998544365,0.482594900066033,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,130,50,P,H,"1,2,4,3",1,0.3663578999694437,0.3663670001551509,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,131,51,R,L,"1,2,4,3",1,0.3164115999825299,0.31642119982279837,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,132,52,P,H,"1,2,4,3",2,0.3159302999265492,0.31593969999812543,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,133,53,R,L,"1,2,4,3",3,0.3331218999810517,0.33313159993849695,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,134,54,P,H,"1,2,4,3",4,0.31529029994271696,0.31529969978146255,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,135,55,R,L,"1,2,4,3",2,0.3316635999362916,0.33167269988916814,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,136,56,P,H,"1,2,4,3",3,0.26618559984490275,0.26619530003517866,j,f,False,False,False,1,1,NA,NA,NA,NA
2,1,2,136,56,P,H,"1,2,4,3",3,0.03332580020651221,0.29954759986139834,j,j,True,False,False,1,0,NA,NA,NA,NA
2,1,2,137,57,R,H,"1,2,4,3",4,0.3327260999940336,0.33273739996366203,l,l,True,False,False,1,1,NA,NA,NA,NA
