participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch
13543,1,1,1,1,R,X,"1,2,3,4",3,0.9715548999374732,0.971565300016664,j,j,True,False,True,0
13543,1,1,2,2,R,X,"1,2,3,4",3,0.3187105000251904,0.3187202999833971,j,j,True,False,True,0
13543,1,1,3,3,R,X,"1,2,3,4",2,0.3175603999989107,0.317570099956356,f,f,True,False,True,0
13543,1,1,4,4,R,X,"1,2,3,4",1,0.4012115999357775,0.4012214000103995,s,s,True,False,True,0
13543,1,1,5,5,R,X,"1,2,3,4",2,0.3006938999751583,0.3007049000589177,f,f,True,False,True,0
13543,1,1,6,6,R,X,"1,2,3,4",4,0.3178762000752613,0.3178872999269515,l,l,True,False,True,0
13543,1,1,7,7,R,X,"1,2,3,4",1,0.3141176999779418,0.3141176999779418,NoGo,s,False,True,True,0
13543,1,1,8,8,R,X,"1,2,3,4",4,0.3508147000102326,0.35082409996539354,l,l,True,False,True,0
13543,1,1,9,9,R,X,"1,2,3,4",3,0.2836049000034109,0.28361439995933324,j,j,True,False,True,0
13543,1,1,10,10,R,X,"1,2,3,4",1,0.2832766000647098,0.2832862999057397,s,s,True,False,True,0
13543,1,1,11,11,R,X,"1,2,3,4",3,0.2765791999408975,0.2765791999408975,NoGo,j,False,True,True,0
13543,1,1,12,12,R,X,"1,2,3,4",1,0.3167324000969529,0.3167425999417901,s,s,True,False,True,0
13543,1,1,13,13,R,X,"1,2,3,4",3,0.27695390000008047,0.27695390000008047,NoGo,j,False,True,True,0
13543,1,1,14,14,R,X,"1,2,3,4",3,0.28309319994878024,0.2831027000211179,j,j,True,False,True,0
13543,1,1,15,15,R,X,"1,2,3,4",2,0.2761699999682605,0.2761699999682605,NoGo,f,False,True,True,0
13543,1,1,16,16,R,X,"1,2,3,4",4,0.3673707999987528,0.3673809999600053,l,l,True,False,True,0
13543,1,1,17,17,R,X,"1,2,3,4",1,0.38260890007950366,0.3826190000399947,s,s,True,False,True,0
13543,1,1,18,18,R,X,"1,2,3,4",2,0.301428799983114,0.30143809993751347,f,f,True,False,True,0
13543,1,1,19,19,R,X,"1,2,3,4",1,0.3177062999457121,0.3177158000180498,s,s,True,False,True,0
13543,1,1,20,20,R,X,"1,2,3,4",2,0.2657837000442669,0.26579520001541823,f,f,True,False,True,0
13543,1,1,21,21,R,X,"1,2,3,4",1,0.30096640007104725,0.3009761000284925,s,s,True,False,True,0
13543,1,1,22,22,R,X,"1,2,3,4",3,0.3173448999878019,0.3173550999490544,j,j,True,False,True,0
13543,1,1,23,23,R,X,"1,2,3,4",3,0.26795949996449053,0.26796890003606677,j,j,True,False,True,0
13543,1,1,24,24,R,X,"1,2,3,4",1,0.26686750003136694,0.26687890000175685,s,s,True,False,True,0
13543,1,1,25,25,R,X,"1,2,3,4",4,0.3524448999669403,0.3524557000491768,l,l,True,False,True,0
13543,1,1,26,26,R,X,"1,2,3,4",4,0.3009592000162229,0.30096869997214526,l,l,True,False,True,0
13543,1,1,27,27,R,X,"1,2,3,4",4,0.28316390002146363,0.28317309997510165,l,j,False,False,True,0
13543,1,1,27,27,R,X,"1,2,3,4",4,0.2002234999090433,0.48342499998398125,l,l,True,False,True,0
13543,1,1,28,28,R,X,"1,2,3,4",4,0.2760622000787407,0.2760622000787407,NoGo,l,False,True,True,0
13543,1,1,29,29,R,X,"1,2,3,4",4,0.3321478000143543,0.3321583999786526,l,l,True,False,True,0
13543,1,1,30,30,R,X,"1,2,3,4",3,0.31718619994353503,0.31719520001206547,j,j,True,False,True,0
13543,1,1,31,31,R,X,"1,2,3,4",3,0.26770620001479983,0.26771619997452945,j,j,True,False,True,0
13543,1,1,32,32,R,X,"1,2,3,4",2,0.26736719999462366,0.2673778999596834,f,f,True,False,True,0
13543,1,1,33,33,R,X,"1,2,3,4",2,0.250872700009495,0.25088450009934604,f,f,True,False,True,0
13543,1,1,34,34,R,X,"1,2,3,4",2,0.24981780000962317,0.24982849997468293,f,f,True,False,True,0
13543,1,1,35,35,R,X,"1,2,3,4",3,0.2675589000573382,0.26757189992349595,j,j,True,False,True,0
13543,1,1,36,36,R,X,"1,2,3,4",1,0.4680036000208929,0.46801379998214543,s,s,True,False,True,0
13543,1,1,37,37,R,X,"1,2,3,4",2,0.25082089996431023,0.2508304000366479,f,f,True,False,True,0
13543,1,1,38,38,R,X,"1,2,3,4",4,0.33426669996697456,0.33427660004235804,l,l,True,False,True,0
13543,1,1,39,39,R,X,"1,2,3,4",4,0.3328153999755159,0.3328253000508994,l,l,True,False,True,0
13543,1,1,40,40,R,X,"1,2,3,4",2,0.3163893000455573,0.31640020001214,f,f,True,False,True,0
13543,1,1,41,41,R,X,"1,2,3,4",4,0.3184834000421688,0.31849289999809116,l,j,False,False,True,0
13543,1,1,41,41,R,X,"1,2,3,4",4,0.21671269997023046,0.5352368999738246,l,l,True,False,True,0
