participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch
133,1,1,1,1,R,X,"1,2,3,4",1,0.3853303000796586,0.38533959991764277,s,s,True,False,True,0
133,1,1,2,2,P,X,"1,2,3,4",1,0.36943910003174096,0.3694499999983236,s,s,True,False,True,0
133,1,1,3,3,R,R,"1,2,3,4",1,0.30050849996041507,0.3005181000335142,s,s,True,False,True,0
133,1,1,4,4,P,H,"1,2,3,4",2,0.3176091000204906,0.31763489998411387,f,f,True,False,True,0
133,1,1,5,5,R,T,"1,2,3,4",1,0.3341772999847308,0.3341870999429375,s,s,True,False,True,0
133,1,1,6,6,P,H,"1,2,3,4",3,0.33401140000205487,0.33402039995417,j,j,True,False,True,0
133,1,1,7,7,R,T,"1,2,3,4",1,0.30586480000056326,0.3058768999762833,s,s,True,False,True,0
133,1,1,8,8,P,H,"1,2,3,4",4,0.2848016999196261,0.28481109999120235,l,l,True,False,True,0
133,1,1,9,9,R,T,"1,2,3,4",1,0.29212009999901056,0.29212009999901056,NoGo,s,False,True,True,0
133,1,1,10,10,P,H,"1,2,3,4",1,0.28427339997142553,0.28428340004757047,s,f,False,False,True,0
133,1,1,10,10,P,H,"1,2,3,4",1,0.06647250009700656,0.350783700007014,s,s,True,False,True,0
133,1,1,11,11,R,L,"1,2,3,4",2,0.2662985000060871,0.266307600075379,f,f,True,False,True,0
133,1,1,12,12,P,H,"1,2,3,4",2,0.2514342999784276,0.2514468999579549,f,f,True,False,True,0
133,1,1,13,13,R,R,"1,2,3,4",2,0.250458599999547,0.2504699999699369,f,f,True,False,True,0
133,1,1,14,14,P,H,"1,2,3,4",3,0.2826058000791818,0.2826160000404343,j,j,True,False,True,0
133,1,1,15,15,R,H,"1,2,3,4",3,0.23372689995449036,0.2337385000428185,j,j,True,False,True,0
133,1,1,16,16,P,H,"1,2,3,4",4,0.3004026999697089,0.3004128000466153,l,l,True,False,True,0
133,1,1,17,17,R,L,"1,2,3,4",2,0.2335062000202015,0.23351589997764677,f,f,True,False,True,0
133,1,1,18,18,P,H,"1,2,3,4",1,0.2671757999341935,0.2671847000019625,s,s,True,False,True,0
133,1,1,19,19,R,L,"1,2,3,4",4,0.3665494000306353,0.3665583999827504,l,l,True,False,True,0
133,1,1,20,20,P,H,"1,2,3,4",2,0.2835185999283567,0.28352940001059324,f,j,False,False,True,0
133,1,1,20,20,P,H,"1,2,3,4",2,0.05004160001408309,0.3336081999586895,f,f,True,False,True,0
133,1,1,21,21,R,L,"1,2,3,4",2,0.2231807999778539,0.2231807999778539,NoGo,f,False,True,True,0
133,1,1,22,22,P,H,"1,2,3,4",3,0.28295270004309714,0.28296189999673516,j,j,True,False,True,0
133,1,1,23,23,R,L,"1,2,3,4",4,0.32568370003718883,0.32568370003718883,NoGo,l,False,True,True,0
133,1,1,24,24,P,H,"1,2,3,4",4,0.3832031999481842,0.3832148000365123,l,j,False,False,True,0
133,1,1,24,24,P,H,"1,2,3,4",4,0.13343749998603016,0.5166798999998719,l,l,True,False,True,0
133,1,1,25,25,R,T,"1,2,3,4",3,0.31624769989866763,0.3162697999505326,j,j,True,False,True,0
133,1,1,26,26,P,H,"1,2,3,4",1,0.28411040001083165,0.2841188999591395,s,f,False,False,True,0
133,1,1,26,26,P,H,"1,2,3,4",1,0.016752999974414706,0.30090279993601143,s,s,True,False,True,0
133,1,1,27,27,R,H,"1,2,3,4",4,0.38379920006264,0.3838100000284612,l,l,True,False,True,0
133,1,1,28,28,P,H,"1,2,3,4",2,0.25111930002458394,0.25113089999649674,f,f,True,False,True,0
133,1,1,29,29,R,H,"1,2,3,4",1,0.27541789994575083,0.27541789994575083,NoGo,s,False,True,True,0
133,1,1,30,30,P,H,"1,2,3,4",3,0.31671019992791116,0.3167185999918729,j,j,True,False,True,0
133,1,1,31,31,R,L,"1,2,3,4",4,0.30107130005490035,0.30107970000244677,l,l,True,False,True,0
133,1,1,32,32,P,H,"1,2,3,4",4,0.28302670002449304,0.28303569997660816,l,l,True,False,True,0
133,1,1,33,33,R,R,"1,2,3,4",4,0.2767341999569908,0.2767341999569908,NoGo,l,False,True,True,0
133,1,1,34,34,P,H,"1,2,3,4",1,0.3327387999743223,0.3327511999523267,s,s,True,False,True,0
133,1,1,35,35,R,L,"1,2,3,4",2,0.21324960002675653,0.21326099999714643,f,s,False,False,True,0
133,1,1,35,35,R,L,"1,2,3,4",2,0.13357029994949698,0.34687749994918704,f,f,True,False,True,0
133,1,1,36,36,P,H,"1,2,3,4",2,0.2688759999582544,0.26888540002983063,f,f,True,False,True,0
133,1,1,37,37,R,L,"1,2,3,4",1,0.25031050003599375,0.25031940010376275,s,f,False,False,True,0
133,1,1,37,37,R,L,"1,2,3,4",1,0.033477499964646995,0.28382680006325245,s,s,True,False,True,0
133,1,1,38,38,P,H,"1,2,3,4",3,0.26591399998869747,0.26592329994309694,j,j,True,False,True,0
133,1,1,39,39,R,H,"1,2,3,4",2,0.2842044999124482,0.2842139999847859,f,f,True,False,True,0
133,1,1,40,40,P,H,"1,2,3,4",4,0.24986700003501028,0.24987670010887086,l,j,False,False,True,0
133,1,1,40,40,P,H,"1,2,3,4",4,0.1666195000289008,0.4165217000991106,l,l,True,False,True,0
