participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
1,1,1,1,1,R,X,"1,2,3,4",4,0.01998969999840483,0.020011000000522472,l,s,False,False,False,1,NA,NA,NA,NA
1,1,1,1,1,R,X,"1,2,3,4",4,1.119126800000231,1.1392150000028778,l,l,True,False,False,1,NA,NA,NA,NA
1,1,1,2,2,P,X,"1,2,3,4",1,0.017012200001772726,0.017050599999492988,s,j,False,False,False,1,NA,NA,NA,NA
1,1,1,2,2,P,X,"1,2,3,4",1,0.34512159999940195,0.3623541999986628,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,3,3,R,T,"1,2,3,4",4,0.38527260000046226,0.3852958000024955,l,l,True,False,False,1,NA,NA,NA,NA
1,1,1,4,4,P,H,"1,2,3,4",2,0.33574640000006184,0.3357756999976118,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,5,5,R,L,"1,2,3,4",2,0.31312769999931334,0.3131556999978784,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,6,6,P,H,"1,2,3,4",3,0.34260750000248663,0.3426848999988579,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,7,7,R,T,"1,2,3,4",2,0.40328089999820804,0.40330050000193296,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,8,8,P,H,"1,2,3,4",4,0.30206190000171773,0.30208570000104373,l,l,True,False,False,1,NA,NA,NA,NA
1,1,1,9,9,R,H,"1,2,3,4",3,0.35657939999873633,0.35660270000153105,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,10,10,P,H,"1,2,3,4",1,0.3399189000010665,0.33994259999963106,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,11,11,R,L,"1,2,3,4",1,0.28203539999958593,0.2820610000017041,s,f,False,False,False,1,NA,NA,NA,NA
1,1,1,11,11,R,L,"1,2,3,4",1,0.06882690000202274,0.3509706000004371,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,12,12,P,H,"1,2,3,4",2,0.3049738999980036,0.3049955000024056,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,13,13,R,T,"1,2,3,4",1,0.3336051000005682,0.33364529999744263,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,14,14,P,H,"1,2,3,4",3,0.300203099999635,0.30022620000090683,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,15,15,R,L,"1,2,3,4",3,0.28792729999986477,0.2879510999991908,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,16,16,P,H,"1,2,3,4",4,0.3347414999989269,0.334775899998931,l,l,True,False,False,1,NA,NA,NA,NA
