participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
1,1,1,1,1,R,X,"1,2,3,4",2,0.28587975000118604,0.28589491700040526,f,s,False,False,False,1,1,2,1,1
1,1,1,1,1,R,X,"1,2,3,4",2,0.2579280830013886,0.5438927089999197,f,f,True,False,False,1,1,2,1,1
1,1,1,2,2,P,X,"1,2,3,4",1,0.32753054199929466,0.32755387500037614,s,s,True,False,False,1,1,2,1,1
1,1,1,3,3,R,H,"1,2,3,4",3,0.3647211250008695,0.36474366600123176,j,j,True,False,False,1,1,2,1,1
1,1,1,4,4,P,H,"1,2,3,4",2,0.32880712500082154,0.32883037499959755,f,f,True,False,False,1,1,2,1,1
1,1,1,5,5,R,L,"1,2,3,4",2,0.3154868749988964,0.3155081670010986,f,f,True,False,False,1,1,2,1,1
1,1,1,6,6,P,H,"1,2,3,4",3,0.9770957920009096,0.9771190420015046,j,j,True,False,False,1,1,2,1,1
1,1,1,7,7,R,H,"1,2,3,4",3,0.3973273749998043,0.3973444590010331,j,j,True,False,False,1,1,2,1,1
1,1,1,8,8,P,H,"1,2,3,4",4,0.3024594580001576,0.3024805410004774,l,l,True,False,False,1,1,2,1,1
1,1,1,9,9,R,T,"1,2,3,4",3,0.3623275840000133,0.362350666000566,j,j,True,False,False,1,1,2,1,1
1,1,1,10,10,P,H,"1,2,3,4",1,0.27521333299955586,0.2752372089998971,s,s,True,False,False,1,1,2,1,1
1,1,1,11,11,R,T,"1,2,3,4",3,0.3205721659996925,0.32059441700039315,j,j,True,False,False,1,1,2,1,1
1,1,1,12,12,P,H,"1,2,3,4",2,0.3281097500002943,0.328132791999451,f,f,True,False,False,1,1,2,1,1
1,1,1,13,13,R,T,"1,2,3,4",3,0.31925329099976807,0.31927408299998206,j,j,True,False,False,1,1,2,1,1
1,1,1,14,14,P,H,"1,2,3,4",3,0.31815958300103375,0.31817504199898394,j,j,True,False,False,1,1,2,1,1
1,1,1,15,15,R,R,"1,2,3,4",3,0.31675216700023157,0.31677316700006486,j,j,True,False,False,1,1,2,1,1
1,1,1,16,16,P,H,"1,2,3,4",4,0.32607287499922677,0.326096917000541,l,l,True,False,False,1,1,2,1,1
1,1,1,17,17,R,L,"1,2,3,4",2,0.30453754200061667,0.3045521660005761,f,f,True,False,False,1,1,2,1,1
1,1,1,18,18,P,H,"1,2,3,4",1,0.25679574999958277,0.25681545800034655,s,s,True,False,False,1,1,2,1,1
1,1,1,19,19,R,L,"1,2,3,4",4,0.294170999999551,0.29418695800086425,l,l,True,False,False,1,1,2,1,1
1,1,1,20,20,P,H,"1,2,3,4",2,0.29721983400122554,0.29724220800017065,f,f,True,False,False,1,1,2,1,1
1,1,1,21,21,R,H,"1,2,3,4",1,0.30382995900072274,0.3038518749999639,s,s,True,False,False,1,1,2,1,1
1,1,1,22,22,P,H,"1,2,3,4",3,0.2921582920007495,0.2921793749992503,j,l,False,False,False,1,1,2,1,1
1,1,1,22,22,P,H,"1,2,3,4",3,0.19610766699952364,0.4883840419988701,j,j,True,False,False,1,1,2,1,1
1,1,1,23,23,R,T,"1,2,3,4",1,0.29485208299956867,0.294865125000797,s,s,True,False,False,1,1,2,1,1
1,1,1,24,24,P,H,"1,2,3,4",4,0.34124399999927846,0.3412666669992177,l,l,True,False,False,1,1,2,1,1
1,1,1,25,25,R,H,"1,2,3,4",2,0.2807398330005526,0.2807607499998994,f,f,True,False,False,1,1,2,1,1
1,1,1,26,26,P,H,"1,2,3,4",1,0.30895349999991595,0.30897941699913645,s,s,True,False,False,1,1,2,1,1
1,1,1,27,27,R,L,"1,2,3,4",4,0.3679195839995373,0.3679425419995823,l,l,True,False,False,1,1,2,1,1
1,1,1,28,28,P,H,"1,2,3,4",2,0.30017704099918774,0.3001938750003319,f,f,True,False,False,1,1,2,1,1
1,1,1,29,29,R,T,"1,2,3,4",4,0.3341493329990044,0.33417220800038194,l,l,True,False,False,1,1,2,1,1
1,1,1,30,30,P,H,"1,2,3,4",3,0.33884354200017697,0.3388655409999046,j,j,True,False,False,1,1,2,1,1
1,1,1,31,31,R,H,"1,2,3,4",1,0.31132504099878133,0.31134729200130096,s,s,True,False,False,1,1,2,1,1
1,1,1,32,32,P,H,"1,2,3,4",4,0.3090519170000334,0.3090873750006722,l,j,False,False,False,1,1,2,1,1
1,1,1,32,32,P,H,"1,2,3,4",4,0.15138225000009697,0.4605487080007151,l,l,True,False,False,1,1,2,1,1
1,1,1,33,33,R,L,"1,2,3,4",4,0.29808629199942516,0.2981024589989829,l,l,True,False,False,1,1,2,1,1
1,1,1,34,34,P,H,"1,2,3,4",1,0.3483291669999744,0.3483497079996596,s,s,True,False,False,1,1,2,1,1
1,1,1,35,35,R,L,"1,2,3,4",3,0.37114929100062,0.371177709001131,j,j,True,False,False,1,1,2,1,1
1,1,1,36,36,P,H,"1,2,3,4",2,0.2839051249993645,0.283919125000466,f,f,True,False,False,1,1,2,1,1
1,1,1,37,37,R,H,"1,2,3,4",4,0.7646887910013902,0.7647109999998065,l,l,True,False,False,1,1,2,1,1
1,1,1,38,38,P,H,"1,2,3,4",3,0.3153737500015268,0.31539658300062,j,j,True,False,False,1,1,2,1,1
1,1,1,39,39,R,H,"1,2,3,4",1,0.34195866600020963,0.34198279100019136,s,s,True,False,False,1,1,2,1,1
1,1,1,40,40,P,H,"1,2,3,4",4,0.34492291700007627,0.34494954199908534,l,l,True,False,False,1,1,2,1,1
1,1,1,41,41,R,H,"1,2,3,4",2,0.2891547079998418,0.28916824999942037,f,f,True,False,False,1,1,2,1,1
1,1,1,42,42,P,H,"1,2,3,4",1,0.29394999999931315,0.29397324999990815,s,f,False,False,False,1,1,2,1,1
1,1,1,42,42,P,H,"1,2,3,4",1,0.10524112500024785,0.39928300000065065,s,s,True,False,False,1,1,2,1,1
1,1,1,43,43,R,L,"1,2,3,4",1,0.31894233300045016,0.3189571250004519,s,s,True,False,False,1,1,2,1,1
1,1,1,44,44,P,H,"1,2,3,4",2,0.3119850420007424,0.31199937499877706,f,f,True,False,False,1,1,2,1,1
1,1,1,45,45,R,L,"1,2,3,4",4,0.3203436669991788,0.32035850000102073,l,j,False,False,False,1,1,2,1,1
1,1,1,45,45,R,L,"1,2,3,4",4,0.11826108399873192,0.4386640829998214,l,l,True,False,False,1,1,2,1,1
1,1,1,46,46,P,H,"1,2,3,4",3,0.3107578340004693,0.31077250000089407,j,j,True,False,False,1,1,2,1,1
1,1,1,47,47,R,T,"1,2,3,4",4,0.3401580000008835,0.3401762920002511,l,s,False,False,False,1,1,2,1,1
1,1,1,47,47,R,T,"1,2,3,4",4,0.3631327080001938,0.703403999999864,l,l,True,False,False,1,1,2,1,1
1,1,1,48,48,P,H,"1,2,3,4",4,0.3587387910010875,0.35875483299969346,l,l,True,False,False,1,1,2,1,1
1,1,1,49,49,R,H,"1,2,3,4",1,0.31167095899945707,0.3116927079991001,s,s,True,False,False,1,1,2,1,1
1,1,1,50,50,P,H,"1,2,3,4",1,0.26265341699945566,0.2626697919986327,s,f,False,False,False,1,1,2,1,1
1,1,1,50,50,P,H,"1,2,3,4",1,0.22358012500080804,0.48630279200006044,s,s,True,False,False,1,1,2,1,1
1,1,1,51,51,R,H,"1,2,3,4",2,0.7470425829997112,0.7470662079995236,f,f,True,False,False,1,1,2,1,1
1,1,1,52,52,P,H,"1,2,3,4",2,0.2803278750016034,0.28034350000052655,f,f,True,False,False,1,1,2,1,1
1,1,1,53,53,R,L,"1,2,3,4",1,0.3213250419994438,0.3213448750011594,s,s,True,False,False,1,1,2,1,1
1,1,1,54,54,P,H,"1,2,3,4",3,0.3378554589999112,0.3378775000001042,j,j,True,False,False,1,1,2,1,1
1,1,1,55,55,R,H,"1,2,3,4",2,0.295003250001173,0.29502408299958915,f,f,True,False,False,1,1,2,1,1
1,1,1,56,56,P,H,"1,2,3,4",4,0.24803508399963903,0.24805108300097345,l,l,True,False,False,1,1,2,1,1
1,1,1,57,57,R,H,"1,2,3,4",3,0.31197791599879565,0.3119939999996859,j,j,True,False,False,1,1,2,1,1
1,1,1,58,58,P,H,"1,2,3,4",1,0.33808891700027743,0.33810245799941185,s,s,True,False,False,1,1,2,1,1
1,1,1,59,59,R,H,"1,2,3,4",4,0.1896316670008673,0.18964712499837333,l,s,False,False,False,1,1,2,1,1
1,1,1,59,59,R,H,"1,2,3,4",4,0.14890787500007718,0.33860870899843576,l,j,False,False,False,1,1,2,1,1
1,1,1,59,59,R,H,"1,2,3,4",4,0.09975416599991149,0.43840874999841617,l,l,True,False,False,1,1,2,1,1
1,1,1,60,60,P,H,"1,2,3,4",2,0.2430072499992093,0.24302320800052257,f,f,True,False,False,1,1,2,1,1
1,1,1,61,61,R,H,"1,2,3,4",1,0.24543029100095737,0.245446124999944,s,f,False,False,False,1,1,2,1,1
1,1,1,61,61,R,H,"1,2,3,4",1,0.1911599169998226,0.4366619169995829,s,s,True,False,False,1,1,2,1,1
1,1,1,62,62,P,H,"1,2,3,4",3,0.3102645829985704,0.31028679100018053,j,l,False,False,False,1,1,2,1,1
1,1,1,62,62,P,H,"1,2,3,4",3,0.08250662500176986,0.39288337499965564,j,j,True,False,False,1,1,2,1,1
1,1,1,63,63,R,H,"1,2,3,4",2,0.36118187499960186,0.361209124999732,f,f,True,False,False,1,1,2,1,1
1,1,1,64,64,P,H,"1,2,3,4",4,0.2761662500015518,0.2761891669997567,l,l,True,False,False,1,1,2,1,1
1,1,1,65,65,R,L,"1,2,3,4",1,0.33653887499895063,0.336559125000349,s,s,True,False,False,1,1,2,1,1
1,1,1,66,66,P,H,"1,2,3,4",1,0.25816562500040163,0.25818195799911337,s,s,True,False,False,1,1,2,1,1
1,1,1,67,67,R,L,"1,2,3,4",4,0.34591816600004677,0.3459404999994149,l,l,True,False,False,1,1,2,1,1
1,1,1,68,68,P,H,"1,2,3,4",2,0.2658630419991823,0.26587854100034747,f,f,True,False,False,1,1,2,1,1
1,1,1,69,69,R,L,"1,2,3,4",3,0.31321058299909055,0.31323291700027767,j,j,True,False,False,1,1,2,1,1
1,1,1,70,70,P,H,"1,2,3,4",3,0.3261957919985434,0.3262183329989057,j,j,True,False,False,1,1,2,1,1
1,1,1,71,71,R,L,"1,2,3,4",1,0.31794333399921015,0.3179652500002703,s,f,False,False,False,1,1,2,1,1
1,1,1,71,71,R,L,"1,2,3,4",1,0.06126179100101581,0.3793150000001333,s,s,True,False,False,1,1,2,1,1
1,1,1,72,72,P,H,"1,2,3,4",4,0.27168274999894493,0.27170420800030115,l,l,True,False,False,1,1,2,1,1
1,1,1,73,73,R,L,"1,2,3,4",4,0.301086249999571,0.30111095900065266,l,l,True,False,False,1,1,2,1,1
1,1,1,74,74,P,H,"1,2,3,4",1,0.3232439160001377,0.32325733400102763,s,s,True,False,False,1,1,2,1,1
1,1,1,75,75,R,L,"1,2,3,4",3,0.23904329200013308,0.23905820900108665,j,f,False,False,False,1,1,2,1,1
1,1,1,75,75,R,L,"1,2,3,4",3,0.0734434579990193,0.31255604200123344,j,j,True,False,False,1,1,2,1,1
1,1,1,76,76,P,H,"1,2,3,4",2,0.2957384999990609,0.29575845900035347,f,s,False,False,False,1,1,2,1,1
1,1,1,76,76,P,H,"1,2,3,4",2,0.20148800000060874,0.49730345900024986,f,f,True,False,False,1,1,2,1,1
1,1,1,77,77,R,L,"1,2,3,4",2,0.3141918330002227,0.31421120899904054,f,f,True,False,False,1,1,2,1,1
1,1,1,78,78,P,H,"1,2,3,4",3,0.29156754199902934,0.29158866699981445,j,j,True,False,False,1,1,2,1,1
1,1,1,79,79,R,T,"1,2,3,4",2,0.7300204589992063,0.7300428329999704,f,f,True,False,False,1,1,2,1,1
1,1,1,80,80,P,H,"1,2,3,4",4,0.3184805000000779,0.3185021659992344,l,f,False,False,False,1,1,2,1,1
1,1,1,80,80,P,H,"1,2,3,4",4,0.07530883299841662,0.393899374999819,l,l,True,False,False,1,1,2,1,1
1,1,2,81,1,R,X,"1,2,3,4",3,0.4443227499996283,0.44434470899977896,j,j,True,False,False,1,1,2,1,3
1,1,2,82,2,P,X,"1,2,3,4",1,0.8495824169986008,0.8495971249994909,s,s,True,False,False,1,1,2,1,3
1,1,2,83,3,R,H,"1,2,3,4",4,0.44684758400035207,0.4468727499988745,l,l,True,False,False,1,1,2,1,3
1,1,2,84,4,P,H,"1,2,3,4",2,0.3415095829986967,0.3415348750004341,f,f,True,False,False,1,1,2,1,3
1,1,2,85,5,R,L,"1,2,3,4",2,0.27611158400031854,0.2761335409995809,f,f,True,False,False,1,1,2,1,3
1,1,2,86,6,P,H,"1,2,3,4",3,0.27433016699978907,0.2743473329992412,j,j,True,False,False,1,1,2,1,3
1,1,2,87,7,R,L,"1,2,3,4",4,0.30194670899982157,0.301960084001621,l,l,True,False,False,1,1,2,1,3
1,1,2,88,8,P,H,"1,2,3,4",4,0.2856504589999531,0.28566475000116043,l,l,True,False,False,1,1,2,1,3
1,1,2,89,9,R,L,"1,2,3,4",3,0.297626167000999,0.2976417079989915,j,j,True,False,False,1,1,2,1,3
1,1,2,90,10,P,H,"1,2,3,4",1,0.30308983299983083,0.3031132919986703,s,s,True,False,False,1,1,2,1,3
1,1,2,91,11,R,T,"1,2,3,4",3,0.2901759169999423,0.290189499999542,j,f,False,False,False,1,1,2,1,3
1,1,2,91,11,R,T,"1,2,3,4",3,0.0691597080003703,0.3593991249999817,j,j,True,False,False,1,1,2,1,3
1,1,2,92,12,P,H,"1,2,3,4",2,0.2821296669990261,0.2821413749989006,f,f,True,False,False,1,1,2,1,3
1,1,2,93,13,R,L,"1,2,3,4",2,0.2940419170008681,0.29405525000038324,f,f,True,False,False,1,1,2,1,3
1,1,2,94,14,P,H,"1,2,3,4",3,0.3320494170002348,0.3320715419995395,j,j,True,False,False,1,1,2,1,3
1,1,2,95,15,R,H,"1,2,3,4",3,0.34390533300029347,0.3439240410007187,j,j,True,False,False,1,1,2,1,3
1,1,2,96,16,P,H,"1,2,3,4",4,0.28577229199981957,0.2857930000009219,l,l,True,False,False,1,1,2,1,3
1,1,2,97,17,R,H,"1,2,3,4",4,0.3305581250006071,0.3305797920002078,l,l,True,False,False,1,1,2,1,3
1,1,2,98,18,P,H,"1,2,3,4",1,0.30274774999998044,0.30276245799905155,s,s,True,False,False,1,1,2,1,3
1,1,2,99,19,R,L,"1,2,3,4",3,0.3636062089990446,0.3636293340005068,j,f,False,False,False,1,1,2,1,3
1,1,2,99,19,R,L,"1,2,3,4",3,0.02157183300005272,0.385281542001394,j,j,True,False,False,1,1,2,1,3
1,1,2,100,20,P,H,"1,2,3,4",2,0.30488241700004437,0.30490316699979303,f,f,True,False,False,1,1,2,1,3
1,1,2,101,21,R,H,"1,2,3,4",4,0.2939941250006086,0.2940179999986867,l,l,True,False,False,1,1,2,1,3
1,1,2,102,22,P,H,"1,2,3,4",3,0.3077082079998945,0.3077287920004892,j,j,True,False,False,1,1,2,1,3
1,1,2,103,23,R,L,"1,2,3,4",2,0.329440750001595,0.32946199999969394,f,f,True,False,False,1,1,2,1,3
1,1,2,104,24,P,H,"1,2,3,4",4,0.25100162499984435,0.2510220420008409,l,l,True,False,False,1,1,2,1,3
1,1,2,105,25,R,H,"1,2,3,4",3,0.1934501249997993,0.1934623749984894,j,l,False,False,False,1,1,2,1,3
1,1,2,105,25,R,H,"1,2,3,4",3,0.21669870799996716,0.41020374999970954,j,j,True,False,False,1,1,2,1,3
1,1,2,106,26,P,H,"1,2,3,4",1,0.3491207499992015,0.34914245899926755,s,s,True,False,False,1,1,2,1,3
1,1,2,107,27,R,L,"1,2,3,4",2,0.27139229100066586,0.27140679100011766,f,f,True,False,False,1,1,2,1,3
1,1,2,108,28,P,H,"1,2,3,4",2,0.2875636669996311,0.2875779580008384,f,f,True,False,False,1,1,2,1,3
1,1,2,109,29,R,L,"1,2,3,4",1,0.3314746669984743,0.3314992089999578,s,s,True,False,False,1,1,2,1,3
1,1,2,110,30,P,H,"1,2,3,4",3,0.3199395840001671,0.31996095899921784,j,j,True,False,False,1,1,2,1,3
1,1,2,111,31,R,L,"1,2,3,4",3,0.6775714159994095,0.6775939999988623,j,l,False,False,False,1,1,2,1,3
1,1,2,111,31,R,L,"1,2,3,4",3,0.19316945799982932,0.8708625839990418,j,j,True,False,False,1,1,2,1,3
1,1,2,112,32,P,H,"1,2,3,4",4,0.37653779100037355,0.37656183399849397,l,l,True,False,False,1,1,2,1,3
1,1,2,113,33,R,H,"1,2,3,4",4,0.327936416000739,0.32795654100118554,l,l,True,False,False,1,1,2,1,3
1,1,2,114,34,P,H,"1,2,3,4",1,0.2922390830008226,0.29225133399995684,s,f,False,False,False,1,1,2,1,3
1,1,2,114,34,P,H,"1,2,3,4",1,0.03638758299894107,0.32868620899898815,s,s,True,False,False,1,1,2,1,3
1,1,2,115,35,R,T,"1,2,3,4",4,0.40333154200015997,0.40335708299971884,l,l,True,False,False,1,1,2,1,3
1,1,2,116,36,P,H,"1,2,3,4",2,0.28249575000154437,0.28251087500029826,f,f,True,False,False,1,1,2,1,3
1,1,2,117,37,R,T,"1,2,3,4",4,0.2532077500000014,0.2532220420016529,l,l,True,False,False,1,1,2,1,3
1,1,2,118,38,P,H,"1,2,3,4",3,0.278941249998752,0.2789690419995168,j,f,False,False,False,1,1,2,1,3
1,1,2,118,38,P,H,"1,2,3,4",3,0.03485366699896986,0.3138960840005893,j,j,True,False,False,1,1,2,1,3
1,1,2,119,39,R,H,"1,2,3,4",1,0.28683216700119374,0.2868529999996099,s,f,False,False,False,1,1,2,1,3
1,1,2,119,39,R,H,"1,2,3,4",1,0.0480403750007099,0.33497033300045587,s,s,True,False,False,1,1,2,1,3
