participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch
1535,1,1,1,1,R,X,"1,4,3,2",3,0.3227321000304073,0.3227413999848068,j,j,True,False,False,1
1535,1,1,2,2,P,X,"1,4,3,2",1,0.28940659994259477,0.2894178000278771,s,s,True,False,False,1
1535,1,1,3,3,R,H,"1,4,3,2",2,0.23625129996798933,0.23626230005174875,f,f,True,False,False,1
1535,1,1,4,4,P,H,"1,4,3,2",4,0.31587469996884465,0.31588440004270524,l,l,True,False,False,1
1535,1,1,5,5,R,T,"1,4,3,2",2,0.2685978999361396,0.2686067000031471,f,f,True,False,False,1
1535,1,1,6,6,P,H,"1,4,3,2",3,0.2504544999683276,0.2504632999189198,j,j,True,False,False,1
1535,1,1,7,7,R,L,"1,4,3,2",3,0.23982799996156245,0.23983719991520047,j,f,False,False,False,1
1535,1,1,7,7,R,L,"1,4,3,2",3,0.033147200010716915,0.2730136999161914,j,j,True,False,False,1
1535,1,1,8,8,P,H,"1,4,3,2",2,0.23385509999934584,0.23386510007549077,f,f,True,False,False,1
1535,1,1,9,9,R,T,"1,4,3,2",3,0.29885929997544736,0.29888229991775006,j,j,True,False,False,1
1535,1,1,10,10,P,H,"1,4,3,2",1,0.23385610000696033,0.2338647999567911,s,f,False,False,False,1
1535,1,1,10,10,P,H,"1,4,3,2",1,0.16679829999338835,0.40069109993055463,s,s,True,False,False,1
1535,1,1,11,11,R,H,"1,4,3,2",2,0.2676955000497401,0.2677061000140384,f,f,True,False,False,1
1535,1,1,12,12,P,H,"1,4,3,2",4,0.2850020000478253,0.28501279989723116,l,l,True,False,False,1
1535,1,1,13,13,R,H,"1,4,3,2",1,0.2835699999704957,0.2835793000413105,s,s,True,False,False,1
1535,1,1,14,14,P,H,"1,4,3,2",3,0.2499806999694556,0.24999010004103184,j,f,False,False,False,1
1535,1,1,14,14,P,H,"1,4,3,2",3,0.18372889992315322,0.43374700006097555,j,j,True,False,False,1
1535,1,1,15,15,R,T,"1,4,3,2",1,0.2506510999519378,0.2506610000273213,s,f,False,False,False,1
1535,1,1,15,15,R,T,"1,4,3,2",1,0.16684279998298734,0.4175299999769777,s,s,True,False,False,1
1535,1,1,16,16,P,H,"1,4,3,2",2,0.26749640004709363,0.2675054999999702,f,f,True,False,False,1
1535,1,1,17,17,R,L,"1,4,3,2",3,0.23167499992996454,0.23168409999925643,j,f,False,False,False,1
1535,1,1,17,17,R,L,"1,4,3,2",3,0.0667744999518618,0.2984868000494316,j,j,True,False,False,1
1535,1,1,18,18,P,H,"1,4,3,2",1,0.21575849992223084,0.21576769999228418,s,j,False,False,False,1
1535,1,1,18,18,P,H,"1,4,3,2",1,0.11677940003573895,0.3325788000365719,s,s,True,False,False,1
1535,1,1,19,19,R,L,"1,4,3,2",1,0.26828439999371767,0.26829349994659424,s,f,False,False,False,1
1535,1,1,19,19,R,L,"1,4,3,2",1,0.15031289996113628,0.4186523000244051,s,s,True,False,False,1
1535,1,1,20,20,P,H,"1,4,3,2",4,0.33476230001542717,0.3347715000854805,l,l,True,False,False,1
1535,1,1,21,21,R,L,"1,4,3,2",2,0.33467500004917383,0.3346853000111878,f,f,True,False,False,1
1535,1,1,22,22,P,H,"1,4,3,2",3,0.28364999999757856,0.28365950006991625,j,j,True,False,False,1
1535,1,1,23,23,R,L,"1,4,3,2",3,0.2838365000206977,0.28384589997585863,j,j,True,False,False,1
1535,1,1,24,24,P,H,"1,4,3,2",2,0.2505945999873802,0.2506038999417797,f,f,True,False,False,1
1535,1,1,25,25,R,L,"1,4,3,2",4,0.3175115999765694,0.3175219000549987,l,l,True,False,False,1
1535,1,1,26,26,P,H,"1,4,3,2",1,0.3012388999341056,0.3012503000209108,s,s,True,False,False,1
1535,1,1,27,27,R,T,"1,4,3,2",4,0.31719370000064373,0.3172161999391392,l,l,True,False,False,1
1535,1,1,28,28,P,H,"1,4,3,2",4,0.2854573999065906,0.2854665999766439,l,l,True,False,False,1
1535,1,1,29,29,R,R,"1,4,3,2",4,0.26671730005182326,0.2667268000077456,l,l,True,False,False,1
1535,1,1,30,30,P,H,"1,4,3,2",3,0.30019909993279725,0.30020920000970364,j,j,True,False,False,1
1535,1,1,31,31,R,L,"1,4,3,2",2,0.2832870000274852,0.2832959999796003,f,f,True,False,False,1
1535,1,1,32,32,P,H,"1,4,3,2",2,0.23311649996321648,0.23312570003326982,f,f,True,False,False,1
1535,1,1,33,33,R,H,"1,4,3,2",1,0.2507127000717446,0.250722200027667,s,f,False,False,False,1
1535,1,1,33,33,R,H,"1,4,3,2",1,0.033035799977369606,0.2837858999846503,s,s,True,False,False,1
