participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_attempt,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
1444,1,1,1,1,R,X,"1,3,4,2",1,0.19304679997731,0.19305540004279464,s,f,False,False,False,1,1,NA,NA,NA,NA
1444,1,1,1,1,R,X,"1,3,4,2",1,0.23286719992756844,0.4259637000504881,s,s,True,False,False,1,0,NA,NA,NA,NA
1444,1,1,2,2,P,X,"1,3,4,2",1,0.32435779995284975,0.32436710002366453,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,3,3,R,R,"1,3,4,2",1,0.349084599991329,0.3490936999442056,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,4,4,P,H,"1,3,4,2",3,0.36652810010127723,0.36653899995144457,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,5,5,R,H,"1,3,4,2",3,0.29869480000343174,0.2987040999578312,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,6,6,P,H,"1,3,4,2",4,0.30027240002527833,0.30028179998043925,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,7,7,R,H,"1,3,4,2",4,0.28068399999756366,0.2806931999512017,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,8,8,P,H,"1,3,4,2",2,0.2999483000021428,0.29995779995806515,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,9,9,R,T,"1,3,4,2",4,0.3663779000053182,0.3663889999734238,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,10,10,P,H,"1,3,4,2",1,0.35009369999170303,0.35010180005338043,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,11,11,R,L,"1,3,4,2",3,0.36684300005435944,0.36685219989158213,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,12,12,P,H,"1,3,4,2",3,0.26555580005515367,0.2655658000148833,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,13,13,R,L,"1,3,4,2",2,0.2661506000440568,0.26615929999388754,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,14,14,P,H,"1,3,4,2",4,0.3165676000062376,0.3165761000709608,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,15,15,R,T,"1,3,4,2",2,0.2664566000457853,0.2664661000017077,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,16,16,P,H,"1,3,4,2",2,0.2832506999839097,0.28325969993602484,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,17,17,R,L,"1,3,4,2",3,0.2654075000900775,0.2654166999273002,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,18,18,P,H,"1,3,4,2",1,0.2987303000409156,0.29873909999150783,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,19,19,R,L,"1,3,4,2",1,0.2995733000570908,0.29958219989202917,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,20,20,P,H,"1,3,4,2",3,0.29933249996975064,0.2993434000527486,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,21,21,R,H,"1,3,4,2",3,0.26613739994354546,0.266150200041011,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,22,22,P,H,"1,3,4,2",4,0.2978819999843836,0.2978913999395445,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,23,23,R,L,"1,3,4,2",2,0.2660325999604538,0.2660421000327915,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,24,24,P,H,"1,3,4,2",2,0.2663103999802843,0.26631890004500747,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,25,25,R,R,"1,3,4,2",2,0.298787200008519,0.29879689996596426,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,26,26,P,H,"1,3,4,2",1,0.2998312000418082,0.29984029999468476,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,27,27,R,T,"1,3,4,2",2,0.29982179997023195,0.2998304000357166,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,28,28,P,H,"1,3,4,2",3,0.2831108000827953,0.28311940003186464,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,29,29,R,L,"1,3,4,2",3,0.2661795999156311,0.26618799997959286,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,30,30,P,H,"1,3,4,2",4,0.2827737000770867,0.282782300026156,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,31,31,R,L,"1,3,4,2",1,0.2496341000078246,0.24964290007483214,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,32,32,P,H,"1,3,4,2",2,0.2826696000993252,0.2826783999335021,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,33,33,R,L,"1,3,4,2",2,0.23269749991595745,0.23270679998677224,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,34,34,P,H,"1,3,4,2",1,0.28231789998244494,0.2823265000479296,s,f,False,False,False,1,1,NA,NA,NA,NA
1444,1,1,34,34,P,H,"1,3,4,2",1,0.050115999998524785,0.332468600012362,s,s,True,False,False,1,0,NA,NA,NA,NA
1444,1,1,35,35,R,T,"1,3,4,2",2,0.3166188000468537,0.31662779999896884,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,36,36,P,H,"1,3,4,2",3,0.2493098999839276,0.24932070006616414,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,37,37,R,H,"1,3,4,2",1,0.2992898999946192,0.29929830005858094,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,38,38,P,H,"1,3,4,2",4,0.265137100010179,0.265146000077948,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,39,39,R,L,"1,3,4,2",4,0.30012509995140135,0.3001353000290692,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,40,40,P,H,"1,3,4,2",2,0.2659976000431925,0.2660069999983534,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,41,41,R,T,"1,3,4,2",4,0.28307510004378855,0.28308389999438077,l,j,False,False,False,1,1,NA,NA,NA,NA
1444,1,1,41,41,R,T,"1,3,4,2",4,0.10001419996842742,0.3831245000474155,l,l,True,False,False,1,0,NA,NA,NA,NA
1444,1,1,42,42,P,H,"1,3,4,2",1,0.28288830001838505,0.2828983999788761,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,43,43,R,L,"1,3,4,2",3,0.282764200004749,0.28277260006871074,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,44,44,P,H,"1,3,4,2",3,0.2820659000426531,0.28207379998639226,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,45,45,R,H,"1,3,4,2",4,0.299923500046134,0.29993340000510216,l,j,False,False,False,1,1,NA,NA,NA,NA
1444,1,1,45,45,R,H,"1,3,4,2",4,0.01655229995958507,0.3165127000538632,l,l,True,False,False,1,0,NA,NA,NA,NA
1444,1,1,46,46,P,H,"1,3,4,2",4,0.23231610003858805,0.23232609999831766,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,47,47,R,L,"1,3,4,2",3,0.2996936999261379,0.29970249999314547,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,48,48,P,H,"1,3,4,2",2,0.23268380004446954,0.2326926999958232,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,49,49,R,T,"1,3,4,2",3,0.31368110002949834,0.31369089998770505,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,50,50,P,H,"1,3,4,2",1,0.2825050000101328,0.2825139999622479,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,51,51,R,H,"1,3,4,2",4,0.3477967999642715,0.3478061000350863,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,52,52,P,H,"1,3,4,2",3,0.2832504000980407,0.2832605999428779,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,53,53,R,H,"1,3,4,2",2,0.24916520004626364,0.24917439999990165,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,54,54,P,H,"1,3,4,2",4,0.33228209998924285,0.33229120005853474,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,55,55,R,L,"1,3,4,2",3,0.2819704000139609,0.28198129998054355,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,56,56,P,H,"1,3,4,2",2,0.2833330000285059,0.2833421000977978,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,57,57,R,L,"1,3,4,2",2,0.25007429998368025,0.2500835999380797,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,58,58,P,H,"1,3,4,2",1,0.3321992999408394,0.3322092000162229,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,59,59,R,L,"1,3,4,2",4,0.28336250002030283,0.2833728000987321,l,j,False,False,False,1,1,NA,NA,NA,NA
1444,1,1,59,59,R,L,"1,3,4,2",4,0.08329219999723136,0.366691300063394,l,l,True,False,False,1,0,NA,NA,NA,NA
1444,1,1,60,60,P,H,"1,3,4,2",3,0.1995741999708116,0.19958829996176064,j,l,False,False,False,1,1,NA,NA,NA,NA
1444,1,1,60,60,P,H,"1,3,4,2",3,0.15001769992522895,0.3496351999929175,j,f,False,False,False,1,0,NA,NA,NA,NA
1444,1,1,60,60,P,H,"1,3,4,2",3,0.01665909995790571,0.3663171000080183,j,j,True,False,False,1,0,NA,NA,NA,NA
1444,1,1,61,61,R,L,"1,3,4,2",3,0.2660345999756828,0.26604349992703646,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,62,62,P,H,"1,3,4,2",4,0.33370439999271184,0.3337136000627652,l,l,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,63,63,R,L,"1,3,4,2",2,0.28134929994121194,0.2813585000112653,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,64,64,P,H,"1,3,4,2",2,0.24954350001644343,0.2495519999647513,f,f,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,65,65,R,H,"1,3,4,2",1,0.33303849992807955,0.3330483000027016,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,66,66,P,H,"1,3,4,2",1,0.28268519998528063,0.28269310004543513,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,67,67,R,R,"1,3,4,2",1,0.2832238000119105,0.2832321999594569,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,68,68,P,H,"1,3,4,2",3,0.33243210008367896,0.33244089991785586,j,j,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,69,69,R,L,"1,3,4,2",4,0.2656606000382453,0.26566999999340624,l,j,False,False,False,1,1,NA,NA,NA,NA
1444,1,1,69,69,R,L,"1,3,4,2",4,0.10007739998400211,0.36577580007724464,l,l,True,False,False,1,0,NA,NA,NA,NA
1444,1,1,70,70,P,H,"1,3,4,2",4,0.21536979998927563,0.21537960006389767,l,f,False,False,False,1,1,NA,NA,NA,NA
1444,1,1,70,70,P,H,"1,3,4,2",4,0.050068699987605214,0.2654750000219792,l,l,True,False,False,1,0,NA,NA,NA,NA
1444,1,1,71,71,R,L,"1,3,4,2",1,0.29978439991828054,0.2997929999837652,s,s,True,False,False,1,1,NA,NA,NA,NA
1444,1,1,72,72,P,H,"1,3,4,2",2,0.31637190002948046,0.3163812999846414,f,f,True,False,False,1,1,NA,NA,NA,NA
