participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
134,1,1,1,1,R,X,"1,2,4,3",4,0.5497217001393437,0.5497300997376442,l,l,True,False,False,1,1,2,1,3
134,1,1,2,2,P,X,"1,2,4,3",1,0.553598300088197,0.5536070000380278,s,s,True,False,False,1,1,2,1,3
134,1,1,3,3,R,H,"1,2,4,3",3,0.6677823998034,0.6677904999814928,j,f,False,False,False,1,1,2,1,3
134,1,1,3,3,R,H,"1,2,4,3",3,0.01786019979044795,0.6856933999806643,j,j,True,False,False,1,1,2,1,3
134,1,1,4,4,P,H,"1,2,4,3",2,0.31707669980823994,0.31708599999547005,f,f,True,False,False,1,1,2,1,3
134,1,1,5,5,R,H,"1,2,4,3",1,0.3201011000201106,0.3201093999668956,s,s,True,False,False,1,1,2,1,3
134,1,1,6,6,P,H,"1,2,4,3",4,0.3849277002736926,0.3849364002235234,l,l,True,False,False,1,1,2,1,3
134,1,1,7,7,R,H,"1,2,4,3",2,0.31693199975416064,0.31694130040705204,f,f,True,False,False,1,1,2,1,3
134,1,1,8,8,P,H,"1,2,4,3",3,0.33389029977843165,0.3338990001939237,j,j,True,False,False,1,1,2,1,3
134,1,1,9,9,R,H,"1,2,4,3",4,0.30110540008172393,0.3011141000315547,l,l,True,False,False,1,1,2,1,3
134,1,1,10,10,P,H,"1,2,4,3",1,0.3512131003662944,0.3512212000787258,s,s,True,False,False,1,1,2,1,3
134,1,1,11,11,R,H,"1,2,4,3",3,0.30067049991339445,0.30067980010062456,j,j,True,False,False,1,1,2,1,3
134,1,1,12,12,P,H,"1,2,4,3",2,0.3012187001295388,0.3012276003137231,f,f,True,False,False,1,1,2,1,3
134,1,1,13,13,R,L,"1,2,4,3",2,0.28401049971580505,0.2840188001282513,f,f,True,False,False,1,1,2,1,3
134,1,1,14,14,P,H,"1,2,4,3",4,0.3167445999570191,0.31675340002402663,l,l,True,False,False,1,1,2,1,3
134,1,1,15,15,R,L,"1,2,4,3",1,0.3335761995986104,0.33358690002933145,s,s,True,False,False,1,1,2,1,3
134,1,1,16,16,P,H,"1,2,4,3",3,0.2679758002050221,0.26798500027507544,j,j,True,False,False,1,1,2,1,3
134,1,2,17,1,R,X,"1,2,4,3",3,0.6997771998867393,0.6997857997193933,j,j,True,False,False,1,1,2,3,4
134,1,2,18,2,P,X,"1,2,4,3",1,0.40079310024157166,0.4008038002066314,s,s,True,False,False,1,1,2,3,4
134,1,2,19,3,R,T,"1,2,4,3",3,0.2842763001099229,0.2842844999395311,j,j,True,False,False,1,1,2,3,4
134,1,2,20,4,P,H,"1,2,4,3",2,0.2510350998491049,0.25104370014742017,f,f,True,False,False,1,1,2,3,4
134,1,2,21,5,R,H,"1,2,4,3",1,0.30013930005952716,0.30014749988913536,s,s,True,False,False,1,1,2,3,4
134,1,2,22,6,P,H,"1,2,4,3",4,0.2672445001080632,0.2672532997094095,l,j,False,False,False,1,1,2,3,4
134,1,2,22,6,P,H,"1,2,4,3",4,0.05016170023009181,0.3174477000720799,l,l,True,False,False,1,1,2,3,4
134,1,2,23,7,R,L,"1,2,4,3",4,0.26815810007974505,0.26816669991239905,l,l,True,False,False,1,1,2,3,4
134,1,2,24,8,P,H,"1,2,4,3",3,0.2674002000130713,0.2674091001972556,j,j,True,False,False,1,1,2,3,4
134,1,2,25,9,R,L,"1,2,4,3",2,0.24991800030693412,0.2499270997941494,f,f,True,False,False,1,1,2,3,4
134,1,2,26,10,P,H,"1,2,4,3",1,0.25030209962278605,0.2503109001554549,s,f,False,False,False,1,1,2,3,4
134,1,2,26,10,P,H,"1,2,4,3",1,0.01660970039665699,0.26694809971377254,s,s,True,False,False,1,1,2,3,4
134,1,2,27,11,R,T,"1,2,4,3",2,0.20025150012224913,0.20026080030947924,f,s,False,False,False,1,1,2,3,4
134,1,2,27,11,R,T,"1,2,4,3",2,0.11696239979937673,0.31726030027493834,f,f,True,False,False,1,1,2,3,4
134,1,2,28,12,P,H,"1,2,4,3",2,0.25071429973468184,0.2507230001501739,f,f,True,False,False,1,1,2,3,4
134,1,2,29,13,R,H,"1,2,4,3",4,0.23430310003459454,0.23431130032986403,l,j,False,False,False,1,1,2,3,4
134,1,2,29,13,R,H,"1,2,4,3",4,0.16680880030617118,0.4011498000472784,l,l,True,False,False,1,1,2,3,4
134,1,2,30,14,P,H,"1,2,4,3",4,0.26758409989997745,0.26759340008720756,l,l,True,False,False,1,1,2,3,4
134,1,2,31,15,R,L,"1,2,4,3",1,0.282791499979794,0.28280080016702414,s,s,True,False,False,1,1,2,3,4
134,1,2,32,16,P,H,"1,2,4,3",3,0.2498319000005722,0.2498416998423636,j,j,True,False,False,1,1,2,3,4
