participant,session,block_number,trial_number,trial_in_block_num,trial_type,triplet_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
155,1,1,1,1,R,X,"1,4,3,2",3,0.36563159999786876,0.36563159999786876,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,2,2,P,X,"1,4,3,2",1,0.3262891000013042,0.3262891000013042,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,3,3,R,H,"1,4,3,2",2,0.30491260000053444,0.30491260000053444,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,4,4,P,H,"1,4,3,2",4,0.2848207999995793,0.2848207999995793,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,5,5,R,H,"1,4,3,2",1,0.32980569999926956,0.32980569999926956,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,6,6,P,H,"1,4,3,2",3,0.28489020000051823,0.28489020000051823,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,7,7,R,L,"1,4,3,2",2,0.2890827999981411,0.2890827999981411,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,8,8,P,H,"1,4,3,2",2,0.254046299996844,0.254046299996844,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,9,9,R,R,"1,4,3,2",2,0.2587634000010439,0.2587634000010439,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,10,10,P,H,"1,4,3,2",1,0.3132491000033042,0.3132491000033042,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,11,11,R,H,"1,4,3,2",1,0.25242379999690456,0.25242379999690456,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,12,12,P,H,"1,4,3,2",4,0.25734929999816814,0.25734929999816814,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,13,13,R,L,"1,4,3,2",3,0.2708673999986786,0.2708673999986786,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,14,14,P,H,"1,4,3,2",3,0.2522856000032334,0.2522856000032334,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,15,15,R,L,"1,4,3,2",4,0.29064169999765,0.29064169999765,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,16,16,P,H,"1,4,3,2",2,0.2793158000022231,0.2793158000022231,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,17,17,R,L,"1,4,3,2",1,0.26779289999831235,0.26779289999831235,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,18,18,P,H,"1,4,3,2",1,0.24914429999989807,0.24914429999989807,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,19,19,R,R,"1,4,3,2",1,0.27194170000075246,0.27194170000075246,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,20,20,P,H,"1,4,3,2",4,0.25274870000066585,0.25274870000066585,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,21,21,R,H,"1,4,3,2",4,0.2669884000024467,0.2669884000024467,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,22,22,P,H,"1,4,3,2",3,0.2798108000024513,0.2798108000024513,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,23,23,R,L,"1,4,3,2",2,0.22026560000085738,0.22026560000085738,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,24,24,P,H,"1,4,3,2",2,0.21955719999823486,0.21955719999823486,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,25,25,R,L,"1,4,3,2",3,0.2580080999978236,0.2580080999978236,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,26,26,P,H,"1,4,3,2",1,0.27224849999765866,0.27224849999765866,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,27,27,R,T,"1,4,3,2",3,0.2610660000027565,0.2610660000027565,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,28,28,P,H,"1,4,3,2",4,0.24239420000230893,0.24239420000230893,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,29,29,R,T,"1,4,3,2",3,0.27886489999946207,0.27886489999946207,j,l,False,False,False,1,,NA,NA,NA,NA
155,1,1,29,29,R,T,"1,4,3,2",3,0.03190549999999348,0.31077039999945555,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,30,30,P,H,"1,4,3,2",3,0.21115890000146464,0.21115890000146464,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,31,31,R,R,"1,4,3,2",3,0.24975890000132495,0.24975890000132495,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,32,32,P,H,"1,4,3,2",2,0.2558679000030679,0.2558679000030679,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,33,33,R,T,"1,4,3,2",3,0.2706785000009404,0.2706785000009404,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,34,34,P,H,"1,4,3,2",1,0.2432294999998703,0.2432294999998703,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,35,35,R,L,"1,4,3,2",1,0.24180820000037784,0.24180820000037784,s,f,False,False,False,1,,NA,NA,NA,NA
155,1,1,35,35,R,L,"1,4,3,2",1,0.03187899999829824,0.2736871999986761,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,36,36,P,H,"1,4,3,2",4,0.2872544999991078,0.2872544999991078,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,37,37,R,L,"1,4,3,2",2,0.26702060000025085,0.26702060000025085,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,38,38,P,H,"1,4,3,2",3,0.2482915000000503,0.2482915000000503,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,39,39,R,H,"1,4,3,2",1,0.23011789999873145,0.23011789999873145,s,f,False,False,False,1,,NA,NA,NA,NA
155,1,1,39,39,R,H,"1,4,3,2",1,0.14389700000174344,0.3740149000004749,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,40,40,P,H,"1,4,3,2",2,0.23908099999971455,0.23908099999971455,f,j,False,False,False,1,,NA,NA,NA,NA
155,1,1,40,40,P,H,"1,4,3,2",2,0.03190499999982421,0.27098599999953876,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,41,41,R,L,"1,4,3,2",3,0.23498370000015711,0.23498370000015711,j,f,False,False,False,1,,NA,NA,NA,NA
155,1,1,41,41,R,L,"1,4,3,2",3,0.05554570000094827,0.2905294000011054,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,42,42,P,H,"1,4,3,2",1,0.22240980000060517,0.22240980000060517,s,f,False,False,False,1,,NA,NA,NA,NA
155,1,1,42,42,P,H,"1,4,3,2",1,0.09594120000110706,0.31835100000171224,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,43,43,R,L,"1,4,3,2",4,0.2897088999998232,0.2897088999998232,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,44,44,P,H,"1,4,3,2",4,0.24576860000161105,0.24576860000161105,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,45,45,R,L,"1,4,3,2",1,0.24228880000009667,0.24228880000009667,s,f,False,False,False,1,,NA,NA,NA,NA
155,1,1,45,45,R,L,"1,4,3,2",1,0.039883600002212916,0.2821724000023096,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,46,46,P,H,"1,4,3,2",3,0.24080569999932777,0.24080569999932777,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,47,47,R,H,"1,4,3,2",4,0.15775500000017928,0.15775500000017928,l,f,False,False,False,1,,NA,NA,NA,NA
155,1,1,47,47,R,H,"1,4,3,2",4,0.15997349999815924,0.3177284999983385,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,48,48,P,H,"1,4,3,2",2,0.27313479999793344,0.27313479999793344,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,49,49,R,T,"1,4,3,2",4,0.2859878999988723,0.2859878999988723,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,50,50,P,H,"1,4,3,2",1,0.32219830000030925,0.32219830000030925,s,s,True,False,False,1,,NA,NA,NA,NA
155,1,1,51,51,R,T,"1,4,3,2",4,0.2772120999979961,0.2772120999979961,l,j,False,False,False,1,,NA,NA,NA,NA
155,1,1,51,51,R,T,"1,4,3,2",4,0.07992759999979171,0.35713969999778783,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,52,52,P,H,"1,4,3,2",4,0.24745200000324985,0.24745200000324985,l,j,False,False,False,1,,NA,NA,NA,NA
155,1,1,52,52,P,H,"1,4,3,2",4,0.06400959999882616,0.311461600002076,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,53,53,R,R,"1,4,3,2",4,0.25810379999893485,0.25810379999893485,l,l,True,False,False,1,,NA,NA,NA,NA
155,1,1,54,54,P,H,"1,4,3,2",3,0.2567726000015682,0.2567726000015682,j,f,False,False,False,1,,NA,NA,NA,NA
155,1,1,54,54,P,H,"1,4,3,2",3,0.039891399999760324,0.29666400000132853,j,j,True,False,False,1,,NA,NA,NA,NA
155,1,1,55,55,R,L,"1,4,3,2",2,0.2122763000006671,0.2122763000006671,f,f,True,False,False,1,,NA,NA,NA,NA
155,1,1,56,56,P,H,"1,4,3,2",2,0.23581190000186325,0.23581190000186325,f,f,True,False,False,1,,NA,NA,NA,NA
