participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
1333,1,1,1,1,R,X,"1,2,3,4",2,0.4092822000002343,0.4092822000002343,f,f,True,False,False,1,,1,2,1,4
1333,1,1,2,2,P,X,"1,2,3,4",1,0.301120300000548,0.301120300000548,s,s,True,False,False,1,,1,2,1,4
1333,1,1,3,3,R,H,"1,2,3,4",3,0.3162499000000025,0.3162499000000025,j,j,True,False,False,1,,1,2,1,4
1333,1,1,4,4,P,H,"1,2,3,4",2,0.2636194999995496,0.2636194999995496,f,f,True,False,False,1,,1,2,1,4
1333,1,1,5,5,R,L,"1,2,3,4",1,0.2478688000001057,0.2478688000001057,s,f,False,False,False,1,,1,2,1,4
1333,1,1,5,5,R,L,"1,2,3,4",1,0.06337950000033743,0.3112483000004431,s,s,True,False,False,1,,1,2,1,4
1333,1,1,6,6,P,H,"1,2,3,4",3,0.25966129999960685,0.25966129999960685,j,j,True,False,False,1,,1,2,1,4
1333,1,1,7,7,R,L,"1,2,3,4",4,0.28307349999977305,0.28307349999977305,l,l,True,False,False,1,,1,2,1,4
1333,1,1,8,8,P,H,"1,2,3,4",4,0.25796209999953135,0.25796209999953135,l,l,True,False,False,1,,1,2,1,4
